Date,Open,High,Low,Close,Vol.,Change %
21-Jun-12,163,164,164,164,21.00K,0.61%
25-Jun-12,164,164,158,158,73.50K,-3.66%
26-Jun-12,158,159,158,158,0.70K,0.00%
27-Jun-12,158,164,160,160,33.50K,1.27%
28-Jun-12,160,165,164,164,42.90K,2.50%
29-Jun-12,164,166,160,165,2.10K,0.61%
02-Jul-12,165,166,166,166,1.80K,0.61%
03-Jul-12,166,166,161,165,0.60K,-0.60%
04-Jul-12,165,166,165,165,15.20K,0.00%
05-Jul-12,165,170,166,169,51.10K,2.42%
06-Jul-12,169,166,165,169,1.50K,0.00%
09-Jul-12,165,169,166,166,2.10K,-1.78%
10-Jul-12,166,166,165,165,5.90K,-0.60%
11-Jul-12,165,171,169,170,42.40K,3.03%
12-Jul-12,170,180,175,176,1.30K,3.53%
13-Jul-12,176,180,180,180,1.80K,2.27%
16-Jul-12,180,180,180,180,52.10K,0.00%
17-Jul-12,180,178,178,178,0.20K,-1.11%
19-Jul-12,178,180,178,179,25.00K,0.56%
20-Jul-12,179,179,179,179,0.20K,0.00%
24-Jul-12,179,180,180,180,3.00K,0.56%
25-Jul-12,180,185,180,185,360.50K,2.78%
26-Jul-12,185,180,180,180,3.50K,-2.70%
30-Jul-12,180,181,180,180,58.60K,0.00%
31-Jul-12,180,181,180,180,3.40K,0.00%
01-Aug-12,180,180,180,180,0.50K,0.00%
02-Aug-12,180,181,180,180,3.10K,0.00%
03-Aug-12,180,180,180,180,5.70K,0.00%
06-Aug-12,180,180,180,180,4.50K,0.00%
07-Aug-12,180,180,180,180,175.40K,0.00%
09-Aug-12,180,180,175,179,51.50K,-0.56%
13-Aug-12,180,179,175,176,0.40K,-1.68%
14-Aug-12,176,180,175,175,240.10K,-0.57%
15-Aug-12,175,176,175,175,119.50K,0.00%
16-Aug-12,175,175,175,175,28.20K,0.00%
17-Aug-12,175,174,174,174,2.00K,-0.57%
21-Aug-12,174,180,175,179,48.40K,2.87%
22-Aug-12,179,180,180,180,38.30K,0.56%
23-Aug-12,180,180,178,179,58.00K,-0.56%
24-Aug-12,179,177,177,177,20.70K,-1.12%
27-Aug-12,177,177,176,177,190.00K,0.00%
28-Aug-12,177,177,165,176,11.40K,-0.56%
29-Aug-12,176,177,177,177,13.20K,0.57%
30-Aug-12,177,178,176,176,221.90K,-0.56%
31-Aug-12,176,176,168,168,314.00K,-4.55%
04-Sep-12,180,176,175,175,50.80K,4.17%
05-Sep-12,175,168,168,168,0.10K,-4.00%
06-Sep-12,168,174,168,170,0.30K,1.19%
07-Sep-12,170,174,174,174,88.20K,2.35%
10-Sep-12,174,171,165,166,12.00K,-4.60%
11-Sep-12,166,174,174,174,0.20K,4.82%
13-Sep-12,180,178,175,175,88.20K,0.57%
17-Sep-12,180,176,176,176,0.10K,0.57%
18-Sep-12,176,175,175,175,0.10K,-0.57%
19-Sep-12,175,172,172,172,0.20K,-1.71%
20-Sep-12,172,170,170,170,788.30K,-1.16%
21-Sep-12,170,170,167,167,355.80K,-1.76%
24-Sep-12,167,170,168,168,3.30K,0.60%
25-Sep-12,168,170,168,169,11.00K,0.60%
26-Sep-12,169,170,170,170,20.00K,0.59%
27-Sep-12,170,173,168,169,9.30K,-0.59%
28-Sep-12,169,171,171,171,0.60K,1.18%
01-Oct-12,171,172,171,172,25.80K,0.58%
02-Oct-12,172,168,168,168,1.00K,-2.33%
03-Oct-12,168,168,165,167,89.20K,-0.60%
04-Oct-12,167,168,168,168,108.50K,0.60%
05-Oct-12,168,168,167,167,4.30K,-0.60%
09-Oct-12,180,168,168,168,12.50K,0.60%
10-Oct-12,168,170,168,169,75.20K,0.60%
11-Oct-12,169,175,170,170,245.00K,0.59%
12-Oct-12,170,173,170,170,446.30K,0.00%
15-Oct-12,170,167,167,167,0.20K,-1.76%
16-Oct-12,167,170,167,167,0.60K,0.00%
17-Oct-12,167,175,167,169,166.20K,1.20%
18-Oct-12,169,165,165,165,1.00K,-2.37%
22-Oct-12,180,170,170,170,0.20K,3.03%
23-Oct-12,170,170,170,170,2.30K,0.00%
24-Oct-12,170,172,172,172,0.10K,1.18%
25-Oct-12,172,171,170,170,3.00K,-1.16%
29-Oct-12,180,172,172,172,0.50K,1.18%
30-Oct-12,172,178,172,177,1.77M,2.91%
01-Nov-12,180,176,175,175,18.70K,-1.13%
02-Nov-12,175,177,177,177,0.10K,1.14%
05-Nov-12,177,178,175,177,452.00K,0.00%
06-Nov-12,177,177,176,176,12.00K,-0.56%
07-Nov-12,176,178,178,178,15.00K,1.14%
08-Nov-12,176,178,178,178,5.20K,0.00%
09-Nov-12,178,176,176,176,0.10K,-1.12%
13-Nov-12,176,176,176,176,0.30K,0.00%
14-Nov-12,176,177,175,176,14.90K,0.00%
19-Nov-12,176,177,175,175,2.50K,-0.57%
20-Nov-12,175,177,176,176,22.00K,0.57%
21-Nov-12,176,180,175,179,63.90K,1.70%
22-Nov-12,179,177,177,177,6.40K,-1.12%
23-Nov-12,177,180,177,177,22.00K,0.00%
26-Nov-12,177,180,175,179,64.20K,1.13%
27-Nov-12,179,180,178,179,22.60K,0.00%
29-Nov-12,179,180,176,179.91,4.60K,0.51%
30-Nov-12,179,177,176,176,5.70K,-2.17%
04-Dec-12,176,177,177,177,172.40K,0.57%
05-Dec-12,177,181,177,179,533.10K,1.13%
06-Dec-12,179,182,180,180,3.70K,0.56%
07-Dec-12,180,182,182,182,2.50K,1.11%
10-Dec-12,182,183,182,182,1.40K,0.00%
11-Dec-12,182,185,185,185,1.94M,1.65%
13-Dec-12,185,185,185,185,0.20K,0.00%
14-Dec-12,185,185,185,185,13.70K,0.00%
17-Dec-12,185,190,187,190,2.52M,2.70%
18-Dec-12,190,190,185,190,351.50K,0.00%
19-Dec-12,190,190,185,189,18.20K,-0.53%
20-Dec-12,189,190,189,189,33.20K,0.00%
21-Dec-12,190,190,190,190,1.50K,0.53%
24-Dec-12,188,188,188,188,0.40K,-1.05%
28-Dec-12,185,185,185,185,0.50K,-1.60%
02-Jan-13,190,190,190,190,0.10K,2.70%
03-Jan-13,190,190,190,190,0.10K,0.00%
04-Jan-13,191,195,191,194,1.60K,2.11%
07-Jan-13,191,191,191,191,0.20K,-1.55%
08-Jan-13,191,191,190,190,2.90K,-0.52%
09-Jan-13,191,191,190,190,12.10K,0.00%
10-Jan-13,194,195,194,194,37.90K,2.11%
11-Jan-13,195,195,195,195,1.20K,0.52%
14-Jan-13,195,195,195,195,193.60K,0.00%
15-Jan-13,196,196,196,196,0.20K,0.51%
16-Jan-13,200,200,200,200,14.10K,2.04%
17-Jan-13,203,205,201,204,182.90K,2.00%
18-Jan-13,210,210,202,205,311.30K,0.49%
21-Jan-13,202,202,201,201,28.70K,-1.95%
22-Jan-13,201,201,201,201,0.30K,0.00%
23-Jan-13,201,203,201,202,1.10K,0.50%
24-Jan-13,202,203,202,202,52.70K,0.00%
25-Jan-13,205,212,202,205,10.80K,1.49%
28-Jan-13,210,210,210,210,0.20K,2.44%
29-Jan-13,202,202,202,202,1.30K,-3.81%
30-Jan-13,203,203,203,203,5.50K,0.50%
31-Jan-13,203,208,203,205,107.50K,0.99%
01-Feb-13,205,205,203,203,5.10K,-0.98%
04-Feb-13,205,205,203,203,0.60K,0.00%
06-Feb-13,205,215,205,209,2.10K,2.96%
07-Feb-13,210,217,210,215,391.70K,2.87%
08-Feb-13,217,220,217,217,63.20K,0.93%
13-Feb-13,219,225,219,221,5.70K,1.84%
14-Feb-13,222,224,222,222,139.80K,0.45%
15-Feb-13,222,222,222,222,0.10K,0.00%
18-Feb-13,222,222,220,220,106.60K,-0.90%
19-Feb-13,220,220,220,220,57.00K,0.00%
20-Feb-13,210,220,200,204,18.20K,-7.27%
21-Feb-13,210,215,210,214,172.20K,4.90%
22-Feb-13,214,214,214,214,136.40K,0.00%
25-Feb-13,211,211,211,211,35.10K,-1.40%
26-Feb-13,204,204,204,204,0.20K,-3.32%
28-Feb-13,204,204,204,204,0.90K,0.00%
01-Mar-13,204,204,203,203,7.90K,-0.49%
05-Mar-13,214,214,200,203,120.80K,0.00%
06-Mar-13,205,205,205,205,4.50K,0.99%
07-Mar-13,205,205,205,205,0.10K,0.00%
08-Mar-13,205,205,205,205,0.20K,0.00%
11-Mar-13,214,220,214,218,2.00K,6.34%
12-Mar-13,220,220,220,220,0.50K,0.92%
13-Mar-13,220,225,215,219,39.90K,-0.45%
14-Mar-13,219,219,219,219,4.00K,0.00%
15-Mar-13,211,215,211,211,61.10K,-3.65%
18-Mar-13,215,215,215,215,1.00K,1.90%
19-Mar-13,217,217,217,217,2.50K,0.93%
20-Mar-13,217,217,217,217,1.10K,0.00%
21-Mar-13,218,218,217,217,1.10K,0.00%
22-Mar-13,219,220,216,219,31.60K,0.92%
25-Mar-13,220,220,220,220,244.60K,0.46%
26-Mar-13,217,220,217,219,15.00K,-0.45%
27-Mar-13,220,220,216,218,1.30K,-0.46%
28-Mar-13,215,220,215,217,2.80K,-0.46%
02-Apr-13,225,225,225,225,0.60K,3.69%
03-Apr-13,225,225,205,210,1.60K,-6.67%
04-Apr-13,206,206,206,206,0.50K,-1.90%
05-Apr-13,206,206,200,205,2.50K,-0.49%
08-Apr-13,200,200,200,200,0.40K,-2.44%
10-Apr-13,201,205,201,203,8.50K,1.50%
11-Apr-13,203,205,203,204,2.30K,0.49%
12-Apr-13,206,206,205,205,173.80K,0.49%
15-Apr-13,210,210,210,210,1.10K,2.44%
16-Apr-13,206,206,205,205,1.10K,-2.38%
17-Apr-13,204,206,203,204,96.00K,-0.49%
18-Apr-13,205,205,205,205,145.70K,0.49%
23-Apr-13,205,205,205,205,60.00K,0.00%
24-Apr-13,210,210,210,210,0.10K,2.44%
25-Apr-13,200,205,200,204,6.00K,-2.86%
02-May-13,205,206,205,205,134.10K,0.49%
03-May-13,205,205,205,205,50.70K,0.00%
06-May-13,210,210,205,205,35.00K,0.00%
07-May-13,205,205,205,205,44.50K,0.00%
08-May-13,205,205,205,205,0.20K,0.00%
09-May-13,206,206,205,205,145.30K,0.00%
10-May-13,206,206,206,206,0.30K,0.49%
13-May-13,200,200,200,200,0.40K,-2.91%
14-May-13,200,205,200,204,101.10K,2.00%
15-May-13,209,209,205,208,1.70K,1.96%
16-May-13,205,207,205,205,601.80K,-1.44%
17-May-13,206,206,205,205,2.40K,0.00%
20-May-13,205,209,205,205,0.80K,0.00%
21-May-13,206,206,205,205,996.00K,0.00%
23-May-13,206,207,205,205,2.30K,0.00%
24-May-13,210,210,207,208,29.20K,1.46%
27-May-13,210,210,210,210,505.50K,0.96%
28-May-13,211,211,210,210,1.60K,0.00%
29-May-13,215,220,215,215,630.90K,2.38%
30-May-13,218,225,218,219,46.80K,1.86%
31-May-13,222,222,220,221,1.10K,0.91%
03-Jun-13,222,222,220,221,2.30K,0.00%
04-Jun-13,220,220,220,220,264.30K,-0.45%
05-Jun-13,220,220,220,220,0.10K,0.00%
06-Jun-13,220,220,219,219,625.50K,-0.45%
07-Jun-13,220,220,219,219,13.90K,0.00%
10-Jun-13,219,219,218,218,0.70K,-0.46%
11-Jun-13,200,219,200,218,161.40K,0.00%
12-Jun-13,202,220,201,209,1.10K,-4.13%
13-Jun-13,207,207,201,202,1.20K,-3.35%
14-Jun-13,210,210,210,210,202.00K,3.96%
17-Jun-13,220,220,215,216,13.90K,2.86%
18-Jun-13,215,215,209,211,2.10K,-2.31%
19-Jun-13,213,220,213,216,321.20K,2.37%
20-Jun-13,216,216,216,216,5.50K,0.00%
