Date,Open,High,Low,Close,Vol.,Change %
11-May-12,12.95,13,12.9,12.95,609.30K,0.00%
14-May-12,12.95,13.2,12.9,13,800.60K,0.39%
15-May-12,13,13.3,13,13,192.70K,0.00%
16-May-12,13,13.4,13,13.05,2.04M,0.38%
17-May-12,13.05,13.95,13.1,13.45,267.90K,3.07%
18-May-12,13.45,14,13.7,13.85,383.00K,2.97%
21-May-12,13.85,14,13.2,13.6,222.10K,-1.81%
22-May-12,13.6,13.95,12.95,13.2,276.80K,-2.94%
23-May-12,13.2,13.5,13,13.1,1.19M,-0.76%
24-May-12,13.1,13.5,13,13.05,155.50K,-0.38%
25-May-12,13.05,13.1,12.95,13,1.41M,-0.38%
28-May-12,13,13.2,13,13,210.50K,0.00%
29-May-12,13,13.2,12.8,12.95,249.00K,-0.38%
30-May-12,12.95,13.05,12.7,12.8,115.20K,-1.16%
31-May-12,12.8,13,12.75,13,1.17M,1.56%
04-Jun-12,13,13,12.75,12.85,171.50K,-1.15%
05-Jun-12,12.85,13,12.8,12.85,112.60K,0.00%
06-Jun-12,12.85,13,12.85,12.9,210.20K,0.39%
07-Jun-12,12.9,12.9,12.8,12.85,188.80K,-0.39%
08-Jun-12,12.85,12.9,12.65,12.75,444.60K,-0.78%
11-Jun-12,12.75,12.8,12.5,12.65,276.90K,-0.78%
12-Jun-12,12.65,12.7,12.5,12.55,143.70K,-0.79%
13-Jun-12,12.55,12.9,12.65,12.85,370.50K,2.39%
14-Jun-12,12.85,13,12.8,12.8,512.60K,-0.39%
15-Jun-12,12.8,13.1,12.9,13,2.35M,1.56%
18-Jun-12,13,13.3,12.9,13,420.90K,0.00%
19-Jun-12,13,13.1,12.9,13.05,378.70K,0.38%
20-Jun-12,13.05,13.2,13,13.1,1.95M,0.38%
21-Jun-12,13.1,13.2,13.05,13.1,1.47M,0.00%
22-Jun-12,13.1,13.5,13.1,13.15,161.60K,0.38%
25-Jun-12,13.15,13.55,13.2,13.45,256.00K,2.28%
26-Jun-12,13.45,13.6,13.45,13.5,154.30K,0.37%
27-Jun-12,13.5,13.8,13,13.3,719.30K,-1.48%
28-Jun-12,13.3,13.4,13,13.25,215.80K,-0.38%
29-Jun-12,13.25,13.5,13,13.05,407.70K,-1.51%
