Date,Open,High,Low,Close,Vol.,Change %
24-Jul-12,9.9,9.99,9.81,9.86,2.85M,-0.40%
25-Jul-12,9.86,10.29,9.86,9.94,169.28K,0.81%
26-Jul-12,9.94,10.03,9.9,9.94,381.73K,0.00%
27-Jul-12,9.94,10.03,9.9,9.99,345.33K,0.50%
30-Jul-12,9.99,10.07,9.9,9.99,565.95K,0.00%
31-Jul-12,9.99,9.99,9.81,9.9,492.10K,-0.90%
01-Aug-12,9.9,9.94,9.43,9.81,828.80K,-0.91%
02-Aug-12,9.81,9.94,9.86,9.86,1.47M,0.51%
03-Aug-12,9.86,9.9,9.77,9.81,262.73K,-0.51%
06-Aug-12,9.81,9.81,9.43,9.6,179.90K,-2.14%
07-Aug-12,9.6,9.81,9.47,9.69,433.53K,0.94%
08-Aug-12,9.69,9.69,9.43,9.56,1.63M,-1.34%
09-Aug-12,9.56,9.69,9.34,9.47,557.90K,-0.94%
10-Aug-12,9.47,9.6,9.43,9.51,817.72K,0.42%
13-Aug-12,9.51,9.6,9.43,9.47,530.48K,-0.42%
14-Aug-12,9.47,9.6,9.43,9.43,282.68K,-0.42%
15-Aug-12,9.43,9.69,9.43,9.47,484.63K,0.42%
16-Aug-12,9.47,9.51,9.43,9.43,1.31M,-0.42%
17-Aug-12,9.43,9.69,9.43,9.47,217.93K,0.42%
21-Aug-12,9.47,9.51,8.7,9.34,513.10K,-1.37%
22-Aug-12,9.34,9.43,9.26,9.39,1.28M,0.54%
23-Aug-12,9.39,9.47,9.34,9.39,3.10M,0.00%
24-Aug-12,9.39,9.51,9.39,9.43,683.67K,0.43%
27-Aug-12,9.43,9.6,9.43,9.47,948.15K,0.42%
28-Aug-12,9.47,9.86,9.56,9.69,1.66M,2.32%
29-Aug-12,9.69,9.9,9.6,9.81,1.81M,1.24%
30-Aug-12,9.81,9.99,9.81,9.86,383.37K,0.51%
31-Aug-12,9.86,10.07,9.86,9.9,206.85K,0.41%
03-Sep-12,9.9,10.07,9.9,9.94,1.27M,0.40%
04-Sep-12,9.94,10.2,9.9,10.03,382.55K,0.91%
