Date,Open,High,Low,Close,Vol.,Change %
14-Aug-12,12.05,12.45,12,12.05,39.40K,0.00%
15-Aug-12,12.05,12.15,12,12.05,116.80K,0.00%
16-Aug-12,12.05,12.15,12.1,12.1,30.60K,0.41%
17-Aug-12,12.1,12.15,11.9,12,1.18M,-0.83%
21-Aug-12,12,12.15,11.5,11.65,268.00K,-2.92%
22-Aug-12,11.65,11.9,11.6,11.6,1.12M,-0.43%
23-Aug-12,11.6,11.7,11.55,11.6,1.99M,0.00%
24-Aug-12,11.6,11.6,11.05,11.45,146.50K,-1.29%
27-Aug-12,11.45,11.5,11.3,11.4,69.80K,-0.44%
28-Aug-12,11.4,11.5,11.3,11.4,83.60K,0.00%
29-Aug-12,11.4,12,11.35,11.5,97.50K,0.88%
30-Aug-12,11.5,11.8,11.45,11.5,51.00K,0.00%
31-Aug-12,11.5,12.5,11.65,12,195.20K,4.35%
03-Sep-12,12,12.5,12.05,12.3,8.70K,2.50%
04-Sep-12,12.3,12.5,12.15,12.25,122.50K,-0.41%
05-Sep-12,12.25,12.3,12.2,12.25,179.40K,0.00%
06-Sep-12,12.25,12.9,12.2,12.5,61.60K,2.04%
07-Sep-12,12.5,13,12.45,12.55,64.10K,0.40%
10-Sep-12,12.55,12.5,12,12.25,147.40K,-2.39%
11-Sep-12,12.25,12.5,11.65,12.15,20.80K,-0.82%
12-Sep-12,12.15,12.25,11.55,11.9,29.20K,-2.06%
13-Sep-12,11.9,12.25,12,12.05,24.60K,1.26%
14-Sep-12,12.05,12.05,11.55,11.9,28.20K,-1.24%
17-Sep-12,11.9,12,11.6,11.95,50.80K,0.42%
18-Sep-12,11.95,11.95,11.55,11.85,179.40K,-0.84%
19-Sep-12,11.85,12,11.7,11.9,63.90K,0.42%
20-Sep-12,11.9,12,11.75,11.8,11.60K,-0.84%
21-Sep-12,11.8,12.1,11.85,11.95,71.00K,1.27%
24-Sep-12,11.95,12.45,11.75,12.1,76.50K,1.26%
25-Sep-12,12.1,12,11.8,11.8,48.40K,-2.48%
26-Sep-12,11.8,12,11.75,11.9,162.10K,0.85%
27-Sep-12,11.9,12.1,11.8,11.95,109.50K,0.42%
28-Sep-12,11.95,12.1,11.95,12.05,78.70K,0.84%
01-Oct-12,12.05,12.75,12.15,12.3,50.90K,2.07%
02-Oct-12,12.3,12.3,11.9,12.2,28.20K,-0.81%
03-Oct-12,12.2,12.3,11.9,12,282.90K,-1.64%
04-Oct-12,12,12,11.8,11.9,25.80K,-0.83%
05-Oct-12,11.9,12.2,11.75,11.95,121.50K,0.42%
08-Oct-12,11.95,12.2,11.9,11.95,44.00K,0.00%
09-Oct-12,11.95,12.15,12.05,12.05,36.70K,0.84%
10-Oct-12,12.05,12.25,12.05,12.05,35.00K,0.00%
11-Oct-12,12.05,12.3,12,12.25,576.40K,1.66%
12-Oct-12,12.25,12.3,12,12.05,25.70K,-1.63%
15-Oct-12,12.05,12.05,12,12,41.60K,-0.41%
16-Oct-12,12,12.4,12,12.2,1.33M,1.67%
17-Oct-12,12.2,12.2,12.05,12.1,58.20K,-0.82%
18-Oct-12,12.1,12.3,12.1,12.1,39.70K,0.00%
19-Oct-12,12.1,12.4,12.1,12.25,35.10K,1.24%
22-Oct-12,12.25,12.5,12.2,12.4,161.40K,1.22%
23-Oct-12,12.4,12.5,12.3,12.45,437.40K,0.40%
24-Oct-12,12.45,12.75,12.4,12.55,38.10K,0.80%
25-Oct-12,12.55,13,12.6,12.65,227.10K,0.80%
26-Oct-12,12.65,13.1,12.85,13,83.40K,2.77%
29-Oct-12,13,13.25,13,13.15,90.00K,1.15%
30-Oct-12,13.15,13.35,13,13.25,98.70K,0.76%
31-Oct-12,13.25,13.35,13,13.05,299.50K,-1.51%
01-Nov-12,13.05,13.3,13.1,13.2,54.50K,1.15%
02-Nov-12,13.2,13.15,12.5,12.9,508.30K,-2.27%
05-Nov-12,12.9,12.8,12.2,12.4,150.40K,-3.88%
06-Nov-12,12.4,12.35,12.2,12.25,631.50K,-1.21%
07-Nov-12,12.25,12.5,12.25,12.3,36.00K,0.41%
08-Nov-12,12.25,12.5,12.3,12.3,138.50K,0.00%
09-Nov-12,12.3,12.35,12.2,12.3,24.00K,0.00%
12-Nov-12,12.3,12.5,12.3,12.5,94.50K,1.63%
13-Nov-12,12.5,12.8,12.5,12.5,3.24M,0.00%
14-Nov-12,12.5,12.6,12.3,12.45,171.80K,-0.40%
15-Nov-12,12.45,12.6,12,12.2,527.20K,-2.01%
16-Nov-12,12.2,12.5,12.05,12.2,2.59M,0.00%
19-Nov-12,12.2,12.25,12,12.15,125.70K,-0.41%
20-Nov-12,12.15,12.25,12,12.15,53.00K,0.00%
21-Nov-12,12.15,12.3,12.15,12.25,388.70K,0.82%
22-Nov-12,12.25,12.3,12,12.25,3.10M,0.00%
23-Nov-12,12.25,12.5,12,12.2,84.90K,-0.41%
26-Nov-12,12.2,12.2,12.05,12.15,257.20K,-0.41%
27-Nov-12,12.15,12.15,12.05,12.05,52.90K,-0.82%
28-Nov-12,12.05,12.5,12.05,12.45,642.00K,3.32%
29-Nov-12,12.45,12.55,12.1,12.35,30.70K,-0.80%
30-Nov-12,12.35,12.5,12.35,12.4,608.40K,0.40%
03-Dec-12,12.4,12.7,12.4,12.6,87.40K,1.61%
04-Dec-12,12.6,12.75,12.5,12.65,157.00K,0.40%
05-Dec-12,12.65,12.7,12.6,12.65,151.40K,0.00%
06-Dec-12,12.65,12.65,12.5,12.55,168.00K,-0.79%
07-Dec-12,12.55,12.65,12.5,12.5,205.30K,-0.40%
10-Dec-12,12.5,12.6,12.5,12.55,192.40K,0.40%
11-Dec-12,12.55,12.65,12.5,12.55,87.60K,0.00%
13-Dec-12,12.55,12.6,12.55,12.6,123.10K,0.40%
14-Dec-12,12.6,12.65,12.6,12.6,66.40K,0.00%
17-Dec-12,12.6,12.6,12.5,12.5,136.00K,-0.79%
18-Dec-12,12.6,12.6,12.05,12.45,289.90K,-0.40%
19-Dec-12,12.1,12.5,12.05,12.2,30.60K,-2.01%
20-Dec-12,12.5,12.5,12.1,12.15,21.10K,-0.41%
21-Dec-12,12.2,12.5,12.1,12.5,2.10M,2.88%
24-Dec-12,12.5,12.5,12.5,12.5,3.40K,0.00%
27-Dec-12,12.15,12.3,12.1,12.1,13.60K,-3.20%
28-Dec-12,12.45,12.5,12.2,12.4,46.00K,2.48%
31-Dec-12,12.4,12.4,12.2,12.35,20.40K,-0.40%
02-Jan-13,12.2,12.4,12.2,12.2,11.20K,-1.21%
03-Jan-13,12.4,12.4,12.05,12.2,27.80K,0.00%
04-Jan-13,12.05,12.6,12.05,12.55,53.90K,2.87%
07-Jan-13,12.4,12.55,12.4,12.45,42.60K,-0.80%
08-Jan-13,12.3,12.5,12.3,12.45,48.20K,0.00%
09-Jan-13,12.65,12.65,12.4,12.5,127.40K,0.40%
10-Jan-13,12.5,12.5,12.35,12.4,43.40K,-0.80%
11-Jan-13,12.3,12.4,12.2,12.25,13.70K,-1.21%
14-Jan-13,12.6,12.6,12.3,12.4,626.00K,1.22%
15-Jan-13,12.4,12.65,12.4,12.6,39.20K,1.61%
16-Jan-13,12.7,13.45,12.7,13,86.60K,3.17%
17-Jan-13,13.5,14.3,13.35,13.75,291.00K,5.77%
18-Jan-13,13.75,13.8,12.9,13.45,138.10K,-2.18%
21-Jan-13,12.9,12.95,12.7,12.85,43.30K,-4.46%
22-Jan-13,12.7,13,12.7,12.95,263.10K,0.78%
23-Jan-13,12.85,13,12.8,12.95,1.16M,0.00%
24-Jan-13,12.9,13,12.9,12.95,320.20K,0.00%
25-Jan-13,12.9,13,12.85,12.9,20.10K,-0.39%
28-Jan-13,13.25,13.4,13,13.15,832.90K,1.94%
29-Jan-13,13.4,13.45,13.05,13.3,586.50K,1.14%
30-Jan-13,13.1,13.15,13.05,13.05,13.50K,-1.88%
31-Jan-13,13.15,13.4,13.1,13.25,51.60K,1.53%
01-Feb-13,13.4,13.45,13.25,13.25,52.00K,0.00%
04-Feb-13,13.25,13.5,13.2,13.25,42.00K,0.00%
05-Feb-13,13.5,13.5,13.35,13.45,66.80K,1.51%
06-Feb-13,13.5,13.75,13.45,13.55,107.00K,0.74%
07-Feb-13,13.7,14.05,13.7,13.8,400.10K,1.85%
08-Feb-13,14.3,15,14.25,14.45,246.40K,4.71%
11-Feb-13,14.55,15.25,14.5,14.9,459.10K,3.11%
12-Feb-13,14.55,15.1,14.55,15,155.90K,0.67%
13-Feb-13,15.1,15.15,14.9,15,333.60K,0.00%
14-Feb-13,15,15.05,14.9,15,715.60K,0.00%
15-Feb-13,15.05,15.05,14.8,14.85,24.50K,-1.00%
18-Feb-13,14.8,15,14.35,14.8,232.90K,-0.34%
19-Feb-13,14.85,14.85,14.35,14.8,322.80K,0.00%
20-Feb-13,14.6,14.6,13.4,13.65,49.40K,-7.77%
21-Feb-13,13.7,13.75,13.6,13.7,82.70K,0.37%
22-Feb-13,13.65,14.15,13.6,13.75,88.80K,0.36%
25-Feb-13,14,14,13.05,13.9,12.60K,1.09%
26-Feb-13,13.1,14,13.05,13.55,35.10K,-2.52%
27-Feb-13,13.8,14.3,13.8,14,31.70K,3.32%
28-Feb-13,14.3,15,14.2,14.35,148.00K,2.50%
01-Mar-13,14.35,14.95,14.35,14.65,161.60K,2.09%
05-Mar-13,14.45,14.65,14.45,14.55,263.00K,-0.68%
06-Mar-13,14.6,14.6,14.5,14.55,336.80K,0.00%
07-Mar-13,14.8,15.05,14.8,14.95,339.00K,2.75%
08-Mar-13,15.8,15.8,15.25,15.25,65.60K,2.01%
11-Mar-13,15.8,16.75,15.8,16.35,485.40K,7.21%
12-Mar-13,16.75,17.95,16.75,17.8,544.30K,8.87%
13-Mar-13,17.95,18,16.5,17.25,444.70K,-3.09%
14-Mar-13,16.95,16.95,16,16.25,86.70K,-5.80%
15-Mar-13,17,17,15,16,501.60K,-1.54%
18-Mar-13,16.05,16.45,16,16.15,173.00K,0.94%
19-Mar-13,16.2,17.5,16.2,16.9,387.40K,4.64%
20-Mar-13,17,17.5,17,17.1,230.10K,1.18%
21-Mar-13,17.05,17.3,17.05,17.15,272.70K,0.29%
22-Mar-13,17.3,17.45,17.15,17.35,243.40K,1.17%
25-Mar-13,17.4,17.7,17.15,17.5,294.40K,0.86%
26-Mar-13,17.7,18.95,17.7,18.6,342.80K,6.29%
27-Mar-13,18.9,20.25,18.9,19.75,813.50K,6.18%
28-Mar-13,19.5,20.25,19.5,19.9,315.20K,0.76%
02-Apr-13,20.5,21.75,20.5,21.5,215.70K,8.04%
03-Apr-13,22,23.5,19.9,21.25,474.30K,-1.16%
04-Apr-13,21.5,21.5,19.75,19.95,259.50K,-6.12%
05-Apr-13,19.9,20.75,19.9,20.5,614.20K,2.76%
08-Apr-13,20.75,21.25,20.25,20.75,377.10K,1.22%
10-Apr-13,21.5,22,21,21.5,336.10K,3.61%
11-Apr-13,21.75,22,21,21.5,359.20K,0.00%
12-Apr-13,21.5,21.75,20.75,21.25,157.80K,-1.16%
15-Apr-13,21,22,21,21.5,488.30K,1.18%
16-Apr-13,21.75,22,21,21,1.70M,-2.33%
17-Apr-13,21.5,21.75,21.25,21.5,457.10K,2.38%
18-Apr-13,21.75,22,21.5,21.5,595.90K,0.00%
19-Apr-13,21.5,22,21.5,21.75,74.50K,1.16%
22-Apr-13,22,22,21.5,21.5,299.50K,-1.15%
23-Apr-13,21.75,21.75,21,21.25,226.00K,-1.16%
24-Apr-13,21,21,20.25,20.5,85.60K,-3.53%
25-Apr-13,20.5,20.5,20,20.25,243.40K,-1.22%
26-Apr-13,20,20.5,19,19.9,220.00K,-1.73%
29-Apr-13,19.5,20,19.5,19.9,248.80K,0.00%
30-Apr-13,20.25,20.75,19.95,20.25,138.80K,1.76%
02-May-13,20.5,21.75,20.5,21.25,244.10K,4.94%
03-May-13,21.5,22,21,21,124.10K,-1.18%
06-May-13,21,21.75,21,21.5,117.30K,2.38%
07-May-13,21.5,22,21.25,21.5,158.40K,0.00%
08-May-13,21.75,22,21.5,21.75,359.50K,1.16%
09-May-13,22,22.25,21.75,22,266.00K,1.15%
10-May-13,22,22.25,21.75,22,364.00K,0.00%
