Date,Open,High,Low,Close,Vol.,Change %
01-Aug-12,221,222,211,221,330.10K,0.00%
02-Aug-12,221,222,209,219,499.60K,-0.90%
03-Aug-12,219,222,220,220,645.40K,0.46%
06-Aug-12,220,222,220,220,7.60K,0.00%
07-Aug-12,220,225,221,223,11.70K,1.36%
08-Aug-12,223,226,222,225,194.70K,0.90%
09-Aug-12,225,230,226,229,55.60K,1.78%
10-Aug-12,229,235,228,231,696.80K,0.87%
13-Aug-12,231,227,225,225,6.10K,-2.60%
14-Aug-12,225,227,225,225,10.40K,0.00%
15-Aug-12,225,230,226,227,19.60K,0.89%
16-Aug-12,227,232,227,230,33.60K,1.32%
17-Aug-12,230,240,230,232,895.80K,0.87%
21-Aug-12,232,232,221,229,389.70K,-1.29%
22-Aug-12,229,230,227,229,228.80K,0.00%
23-Aug-12,229,238,229,229,178.90K,0.00%
24-Aug-12,229,229,220,223,143.40K,-2.62%
27-Aug-12,223,224,221,223,243.70K,0.00%
28-Aug-12,223,223,220,221,43.60K,-0.90%
29-Aug-12,221,225,222,223,5.10K,0.90%
30-Aug-12,223,228,225,225,18.10K,0.90%
31-Aug-12,225,226,226,226,12.80K,0.44%
03-Sep-12,226,229,216,225,26.50K,-0.44%
04-Sep-12,225,226,226,226,1.60K,0.44%
05-Sep-12,226,230,229,229,1.20M,1.33%
06-Sep-12,229,229,226,227,257.80K,-0.87%
07-Sep-12,227,230,230,230,2.60K,1.32%
10-Sep-12,230,230,225,225,5.92M,-2.17%
11-Sep-12,225,230,227,229,244.70K,1.78%
12-Sep-12,229,230,228,228,586.00K,-0.44%
13-Sep-12,228,232,228,229,87.90K,0.44%
14-Sep-12,229,230,228,229,282.20K,0.00%
17-Sep-12,229,229,228,228,72.50K,-0.44%
18-Sep-12,228,229,227,228,100.70K,0.00%
19-Sep-12,228,230,226,226,181.80K,-0.88%
20-Sep-12,226,227,222,226,1.62M,0.00%
21-Sep-12,226,228,226,226,54.70K,0.00%
24-Sep-12,226,225,222,223,47.20K,-1.33%
25-Sep-12,223,232,223,229,2.94M,2.69%
26-Sep-12,229,223,220,221,0.80K,-3.49%
27-Sep-12,221,230,226,229,147.90K,3.62%
28-Sep-12,229,235,228,233,909.60K,1.75%
01-Oct-12,233,235,232,234,314.10K,0.43%
02-Oct-12,234,235,233,234,66.50K,0.00%
03-Oct-12,234,240,231,239,1.29M,2.14%
04-Oct-12,239,236,235,235,3.01M,-1.67%
05-Oct-12,235,235,235,235,728.80K,0.00%
08-Oct-12,235,235,230,232,56.40K,-1.28%
09-Oct-12,232,234,230,233,7.00K,0.43%
10-Oct-12,233,231,230,230,6.80K,-1.29%
11-Oct-12,230,236,231,235,674.10K,2.17%
12-Oct-12,235,236,235,235,1.70K,0.00%
15-Oct-12,235,238,236,237,102.60K,0.85%
16-Oct-12,237,238,236,237,674.00K,0.00%
17-Oct-12,237,238,237,238,360.20K,0.42%
18-Oct-12,238,238,237,237,8.20K,-0.42%
19-Oct-12,237,240,235,239,957.80K,0.84%
22-Oct-12,239,240,237,239,438.20K,0.00%
23-Oct-12,239,240,237,239,1.40M,0.00%
24-Oct-12,239,240,238,239,223.00K,0.00%
25-Oct-12,239,240,228,237,6.00K,-0.84%
26-Oct-12,237,240,237,239,897.10K,0.84%
29-Oct-12,239,240,238,239,1.07M,0.00%
30-Oct-12,239,242,240,240,77.80K,0.42%
31-Oct-12,240,241,240,240,49.40K,0.00%
01-Nov-12,240,241,239,239,91.70K,-0.42%
02-Nov-12,239,241,240,240,212.60K,0.42%
05-Nov-12,240,241,239,240,112.50K,0.00%
06-Nov-12,240,241,220,239,236.70K,-0.42%
07-Nov-12,239,241,239,240,323.60K,0.42%
08-Nov-12,239,242,240,241,219.90K,0.42%
09-Nov-12,241,242,239,240,23.00K,-0.41%
12-Nov-12,240,244,240,242,74.70K,0.83%
13-Nov-12,242,242,241,242,1.08M,0.00%
14-Nov-12,242,243,241,242,230.20K,0.00%
15-Nov-12,242,244,242,242,63.90K,0.00%
16-Nov-12,242,243,231,241,137.20K,-0.41%
19-Nov-12,241,243,240,241,317.80K,0.00%
20-Nov-12,241,243,240,242,94.00K,0.41%
21-Nov-12,242,243,242,242,507.30K,0.00%
22-Nov-12,242,242,230,241,217.60K,-0.41%
23-Nov-12,241,243,240,242,492.90K,0.41%
26-Nov-12,243,243,240,242,519.70K,0.00%
27-Nov-12,242,240,240,240,9.10K,-0.83%
28-Nov-12,240,243,242,242,235.20K,0.83%
29-Nov-12,242,245,243,244.97,368.90K,1.23%
30-Nov-12,244,250,240,247,269.90K,0.83%
03-Dec-12,247,246,246,246,691.40K,-0.40%
04-Dec-12,246,247,246,246,193.00K,0.00%
05-Dec-12,246,248,246,247,89.00K,0.41%
06-Dec-12,247,250,249,249,129.60K,0.81%
07-Dec-12,249,253,251,251,49.80K,0.80%
10-Dec-12,251,255,252,254,153.40K,1.20%
11-Dec-12,254,260,255,257,215.90K,1.18%
13-Dec-12,257,260,256,259,608.30K,0.78%
14-Dec-12,259,261,256,260,79.10K,0.39%
17-Dec-12,260,262,260,260,1.13M,0.00%
18-Dec-12,258,261,247,260,62.40K,0.00%
19-Dec-12,250,260,235,259,530.30K,-0.38%
20-Dec-12,259,261,259,259,1.83M,0.00%
21-Dec-12,259,264,259,261,130.80K,0.77%
24-Dec-12,260,262,260,261,21.50K,0.00%
27-Dec-12,263,263,263,263,83.50K,0.77%
28-Dec-12,263,265,263,264,28.40K,0.38%
31-Dec-12,263,266,263,265,119.20K,0.38%
02-Jan-13,267,267,267,267,1.10K,0.75%
03-Jan-13,267,268,265,267,9.10K,0.00%
04-Jan-13,270,280,270,274,65.20K,2.62%
07-Jan-13,270,275,270,272,9.10K,-0.73%
08-Jan-13,272,295,272,280,22.60K,2.94%
09-Jan-13,287,295,287,290,1.01M,3.57%
10-Jan-13,291,292,291,291,642.70K,0.34%
11-Jan-13,291,297,291,294,142.10K,1.03%
14-Jan-13,295,306,295,299,89.30K,1.70%
15-Jan-13,300,305,300,303,694.00K,1.34%
16-Jan-13,303,305,295,304,672.10K,0.33%
17-Jan-13,300,305,300,301,307.50K,-0.99%
18-Jan-13,300,300,295,295,50.60K,-1.99%
21-Jan-13,295,299,290,295,11.70K,0.00%
22-Jan-13,294,295,290,294,18.10K,-0.34%
23-Jan-13,294,298,294,296,385.20K,0.68%
24-Jan-13,294,295,294,294,99.60K,-0.68%
25-Jan-13,295,300,295,297,114.70K,1.02%
28-Jan-13,296,300,296,299,141.10K,0.67%
29-Jan-13,285,300,285,299,281.20K,0.00%
30-Jan-13,300,300,300,300,156.80K,0.33%
31-Jan-13,301,303,301,301,105.90K,0.33%
01-Feb-13,300,304,300,303,466.70K,0.66%
04-Feb-13,302,306,301,304,299.50K,0.33%
05-Feb-13,306,308,306,306,887.40K,0.66%
06-Feb-13,306,309,306,307,257.10K,0.33%
07-Feb-13,308,309,307,307,730.00K,0.00%
08-Feb-13,308,309,307,307,438.10K,0.00%
11-Feb-13,307,312,307,311,411.40K,1.30%
12-Feb-13,314,316,314,314,1.43M,0.96%
13-Feb-13,315,315,312,315,2.01M,0.32%
14-Feb-13,309,310,307,308,219.20K,-2.22%
15-Feb-13,300,300,294,295,5.90K,-4.22%
18-Feb-13,290,290,272,287,582.50K,-2.71%
19-Feb-13,280,280,271,277,1.10M,-3.48%
20-Feb-13,273,277,272,273,399.00K,-1.44%
21-Feb-13,275,280,275,277,1.45M,1.47%
22-Feb-13,280,285,278,280,326.40K,1.08%
25-Feb-13,281,290,278,280,3.15M,0.00%
26-Feb-13,290,290,263,279,376.00K,-0.36%
27-Feb-13,280,281,280,280,1.07M,0.36%
28-Feb-13,281,286,281,282,44.50K,0.71%
01-Mar-13,285,287,285,285,22.40K,1.06%
05-Mar-13,285,291,285,287,66.70K,0.70%
06-Mar-13,285,293,268,291,63.70K,1.39%
07-Mar-13,292,300,292,295,77.30K,1.37%
08-Mar-13,296,300,296,297,165.90K,0.68%
11-Mar-13,299,320,299,307,25.30K,3.37%
12-Mar-13,318,325,318,320,1.41M,4.23%
13-Mar-13,320,320,300,319,140.80K,-0.31%
14-Mar-13,311,311,310,311,626.30K,-2.51%
15-Mar-13,305,309,300,303,11.10K,-2.57%
18-Mar-13,300,305,300,304,423.50K,0.33%
19-Mar-13,301,311,301,307,90.60K,0.99%
20-Mar-13,307,319,307,309,162.90K,0.65%
21-Mar-13,311,311,305,309,202.80K,0.00%
22-Mar-13,310,310,309,310,189.50K,0.32%
25-Mar-13,310,312,310,310,403.80K,0.00%
26-Mar-13,310,315,310,311,254.00K,0.32%
27-Mar-13,310,312,310,311,429.40K,0.00%
28-Mar-13,312,320,310,311,557.70K,0.00%
02-Apr-13,311,312,308,310,272.50K,-0.32%
03-Apr-13,310,311,306,310,385.30K,0.00%
04-Apr-13,309,310,308,309,139.10K,-0.32%
05-Apr-13,308,308,307,307,879.50K,-0.65%
08-Apr-13,305,305,291,292,2.60K,-4.89%
10-Apr-13,305,305,295,302,203.60K,3.42%
11-Apr-13,303,310,303,303,161.30K,0.33%
12-Apr-13,302,305,302,304,183.00K,0.33%
15-Apr-13,307,308,305,306,16.40K,0.66%
16-Apr-13,305,305,302,304,134.00K,-0.65%
17-Apr-13,303,304,302,302,925.10K,-0.66%
18-Apr-13,303,303,295,303,565.00K,0.33%
19-Apr-13,300,300,292,299,127.90K,-1.32%
22-Apr-13,299,300,295,297,14.60K,-0.67%
23-Apr-13,301,301,295,296,164.10K,-0.34%
24-Apr-13,296,300,295,298,230.60K,0.68%
25-Apr-13,296,300,296,299,30.80K,0.34%
26-Apr-13,296,298,296,297,125.40K,-0.67%
29-Apr-13,300,305,300,300,349.70K,1.01%
30-Apr-13,301,306,301,305,27.60K,1.67%
