Date,Open,High,Low,Close,Vol.,Change %
05-Aug-14,46.25,46.5,46,46.25,698.30K,0.00%
06-Aug-14,46.25,46.5,46.25,46.25,641.70K,0.00%
07-Aug-14,46.5,46.5,46,46,1.07M,-0.54%
08-Aug-14,46,46.25,45.75,46,658.10K,0.00%
11-Aug-14,46,46.25,45.5,45.75,982.00K,-0.54%
12-Aug-14,46,46,45,45,396.60K,-1.64%
13-Aug-14,46,46,45,45.25,592.20K,0.56%
14-Aug-14,45.25,46,45,45.75,3.13M,1.10%
15-Aug-14,45.25,46.25,45.25,45.5,3.27M,-0.55%
18-Aug-14,46.25,46.5,45.25,45.75,1.58M,0.55%
19-Aug-14,45.5,46,45.5,45.75,1.09M,0.00%
20-Aug-14,46.25,46.25,45.75,46,1.03M,0.55%
21-Aug-14,46,46.25,45.5,45.75,705.10K,-0.54%
22-Aug-14,45.5,46.25,45.5,45.75,597.40K,0.00%
25-Aug-14,46.25,46.25,46,46,1.03M,0.55%
26-Aug-14,46,46.25,45.75,45.75,408.20K,-0.54%
27-Aug-14,46,46.5,45.75,46,754.90K,0.55%
28-Aug-14,46,46.25,46,46,531.70K,0.00%
29-Aug-14,46,47,46,46.75,298.00K,1.63%
01-Sep-14,47.5,49.5,47,48,1.04M,2.67%
02-Sep-14,48,49,48,48.75,1.46M,1.56%
03-Sep-14,49.25,49.25,48,48.5,1.38M,-0.51%
04-Sep-14,49,49,48,48.5,3.66M,0.00%
05-Sep-14,48.5,48.5,47.75,47.75,305.00K,-1.55%
08-Sep-14,48,48.5,47.5,48,627.90K,0.52%
09-Sep-14,48,48.5,47.75,48,1.49M,0.00%
10-Sep-14,48,48.5,48,48,894.10K,0.00%
11-Sep-14,48.25,50,48.25,48.75,529.10K,1.56%
12-Sep-14,49,52.5,49,50.5,2.34M,3.59%
15-Sep-14,51.5,54,51.5,52.5,3.25M,3.96%
16-Sep-14,53,54,50.5,53,2.68M,0.95%
17-Sep-14,52,53.5,50,51.5,1.50M,-2.83%
18-Sep-14,53,56.5,53,54.5,2.95M,5.83%
19-Sep-14,56,59.5,56,57,2.07M,4.59%
22-Sep-14,59,60,57.5,58.5,4.43M,2.63%
23-Sep-14,60,63,55,59,3.50M,0.85%
24-Sep-14,57,57.5,53.5,54.5,3.30M,-7.63%
25-Sep-14,55,55,50,52,2.97M,-4.59%
26-Sep-14,54,54,52.5,53.5,977.80K,2.88%
29-Sep-14,54,54,53,53.5,1.19M,0.00%
30-Sep-14,54,54,51,51.5,6.18M,-3.74%
01-Oct-14,52,52.5,50,50.5,7.56M,-1.94%
02-Oct-14,50.5,51,49.5,49.75,1.85M,-1.49%
03-Oct-14,50.5,53,50.5,50.75,1.12M,2.01%
06-Oct-14,50.5,52,50.5,50.5,1.69M,-0.49%
07-Oct-14,51,51.5,50.5,50.5,5.90M,0.00%
08-Oct-14,51.5,51.5,50,50.5,1.99M,0.00%
09-Oct-14,50.5,50.5,49.5,49.75,1.21M,-1.49%
10-Oct-14,50,50,49,49.25,438.30K,-1.01%
13-Oct-14,49.25,49.25,48.75,48.75,1.64M,-1.02%
14-Oct-14,49,49.25,48.5,48.75,4.28M,0.00%
15-Oct-14,49,49.75,49,49.25,2.24M,1.03%
16-Oct-14,49.5,51.5,49.5,50.5,2.59M,2.54%
17-Oct-14,51,51.5,50,50.5,1.49M,0.00%
21-Oct-14,52,52,50.5,50.5,397.70K,0.00%
22-Oct-14,51,52,50.5,51,1.80M,0.99%
23-Oct-14,51,51.5,50.5,51,1.93M,0.00%
24-Oct-14,51,52,50.5,51,505.70K,0.00%
27-Oct-14,51,52,50,50.5,1.01M,-0.98%
28-Oct-14,51,51,50.5,50.5,4.76M,0.00%
29-Oct-14,51,51.5,50.5,51,4.36M,0.99%
30-Oct-14,51,51.5,50.5,50.5,5.55M,-0.98%
31-Oct-14,52,52,50,50.5,2.32M,0.00%
03-Nov-14,51,52,50,50,1.92M,-0.99%
04-Nov-14,50,50,48.5,49.25,952.70K,-1.50%
05-Nov-14,49,49.5,48,48.25,3.42M,-2.03%
06-Nov-14,48.25,49,48,48.25,824.00K,0.00%
07-Nov-14,48.75,49,48.5,48.5,2.52M,0.52%
10-Nov-14,48.75,50,48.5,49.25,737.70K,1.55%
11-Nov-14,50,50,49.25,49.5,513.80K,0.51%
12-Nov-14,50,51,49.75,50,6.30M,1.01%
13-Nov-14,50.5,51,50,50,683.40K,0.00%
14-Nov-14,50.5,51,50,50.5,2.05M,1.00%
17-Nov-14,50,51,50,50,194.10K,-0.99%
18-Nov-14,50.5,50.5,48.5,49.5,169.80K,-1.00%
19-Nov-14,49.75,50,48.5,49,1.32M,-1.01%
20-Nov-14,49,50,48.25,48.5,1.06M,-1.02%
21-Nov-14,48.5,48.75,47.5,48,2.77M,-1.03%
24-Nov-14,48,48,46.25,47.25,275.80K,-1.56%
25-Nov-14,47,47.25,46,46.25,1.49M,-2.12%
26-Nov-14,46.5,48.5,46,47.5,2.78M,2.70%
27-Nov-14,48.5,50,48,49.5,6.50M,4.21%
28-Nov-14,50,50.5,49.5,49.75,2.95M,0.51%
01-Dec-14,50.5,50.5,49.75,50,580.30K,0.50%
02-Dec-14,50,51,49.75,50,1.34M,0.00%
03-Dec-14,50,50.5,50,50,1.61M,0.00%
04-Dec-14,50.5,50.5,50,50,1.12M,0.00%
05-Dec-14,50,51,50,50.5,1.80M,1.00%
08-Dec-14,50,52,50,51,6.76M,0.99%
09-Dec-14,51,52,50,50.5,1.97M,-0.98%
10-Dec-14,51,51,50,50.5,3.54M,0.00%
11-Dec-14,50.5,51,49.75,50,5.61M,-0.99%
15-Dec-14,50,51,49.75,50,3.57M,0.00%
16-Dec-14,50.5,51.5,50.5,51,13.06M,2.00%
17-Dec-14,51,51.5,49.5,50,2.25M,-1.96%
18-Dec-14,50,50,47.5,48.25,2.92M,-3.50%
19-Dec-14,50,50,48,48.25,1.43M,0.00%
22-Dec-14,48,49,47,47.75,1.28M,-1.04%
23-Dec-14,48,48.25,47,47.75,3.61M,0.00%
24-Dec-14,48,48.5,47.75,47.75,227.30K,0.00%
29-Dec-14,48.5,51,48,50,833.50K,4.71%
30-Dec-14,50.5,51.5,50,51,2.55M,2.00%
31-Dec-14,52,52,50,50,546.60K,-1.96%
02-Jan-15,50.5,51,50,50.5,215.90K,1.00%
05-Jan-15,50.5,51,49.5,49.75,326.30K,-1.49%
06-Jan-15,50,50,49,49.5,319.90K,-0.50%
07-Jan-15,49,50,49,49.5,1.01M,0.00%
08-Jan-15,49.5,50,49,49.5,295.20K,0.00%
09-Jan-15,49.5,49.75,48.75,49,289.30K,-1.01%
12-Jan-15,49.5,49.5,48.75,49,932.50K,0.00%
13-Jan-15,49,51,49,49.75,509.90K,1.53%
14-Jan-15,50.5,52,50,50.5,1.27M,1.51%
15-Jan-15,51.5,51.5,49.75,51,1.56M,0.99%
16-Jan-15,51.5,52,50.5,51.5,4.84M,0.98%
19-Jan-15,51.5,53,51.5,52,353.40K,0.97%
20-Jan-15,52.5,53,50.5,51,2.28M,-1.92%
21-Jan-15,51.5,52,50,51,1.06M,0.00%
22-Jan-15,51.5,53.5,51.5,52,1.12M,1.96%
23-Jan-15,53,56,53,55,2.58M,5.77%
26-Jan-15,54,55,53,54,1.09M,-1.82%
27-Jan-15,54.5,54.5,53,54,1.51M,0.00%
28-Jan-15,55,55,53,53.5,2.31M,-0.93%
29-Jan-15,54.5,54.5,53.5,53.5,1.14M,0.00%
30-Jan-15,54,54.5,53.5,54,368.00K,0.93%
02-Feb-15,54.5,54.5,53.5,53.5,627.70K,-0.93%
03-Feb-15,54,54.5,53.5,53.5,705.40K,0.00%
04-Feb-15,54,54,53.5,53.5,739.80K,0.00%
05-Feb-15,54,54,53,53.5,1.13M,0.00%
06-Feb-15,54,54,52.5,53,1.11M,-0.93%
09-Feb-15,53,53.5,52.5,52.5,1.64M,-0.94%
10-Feb-15,52.5,52.5,51.5,52,734.40K,-0.95%
