Date,Open,High,Low,Close,Vol.,Change %
30-Nov-15,21.5,21.5,21.5,21.5,0.10K,-9.47%
01-Dec-15,19.35,22,19.35,21.5,64.00K,0.00%
02-Dec-15,21.5,21.5,20.5,21,17.00K,-2.33%
03-Dec-15,19.5,22,19.5,20.5,243.00K,-2.38%
04-Dec-15,22,22,20,21.25,120.60K,3.66%
07-Dec-15,21,22,19.5,21,77.60K,-1.18%
08-Dec-15,21,21.25,20.5,20.75,28.80K,-1.19%
09-Dec-15,21,21.5,20.5,20.75,102.70K,0.00%
10-Dec-15,21,21,20.75,20.75,4.00K,0.00%
11-Dec-15,20.75,20.75,20.5,20.5,47.50K,-1.20%
14-Dec-15,21,21,20.5,20.25,40.40K,-1.22%
15-Dec-15,21,21,20,20.25,31.00K,0.00%
16-Dec-15,20.5,21,20,20.25,216.20K,0.00%
17-Dec-15,20.25,21,20,20.5,24.20K,1.23%
18-Dec-15,20.75,21,20.5,20.75,21.10K,1.22%
21-Dec-15,21,21,20.5,20.75,11.70K,0.00%
22-Dec-15,20,21,20,20.75,35.20K,0.00%
23-Dec-15,21,21,20.5,20.75,53.40K,0.00%
24-Dec-15,20.75,22,20.25,21,63.50K,1.20%
28-Dec-15,22,22.25,21,21.75,59.50K,3.57%
29-Dec-15,22.5,22.5,21,21,11.60K,-3.45%
30-Dec-15,21.75,22.5,21.75,22.25,30.30K,5.95%
31-Dec-15,0,22.25,22,22,2.50K,-1.12%
04-Jan-16,22,22,21,21.75,31.70K,-1.14%
05-Jan-16,22,22,21.5,21.75,50.20K,0.00%
06-Jan-16,21.5,22,21,21.25,25.60K,-2.30%
07-Jan-16,21,21.25,21,21,26.10K,-1.18%
08-Jan-16,21,21,20.5,20.75,53.20K,-1.19%
11-Jan-16,21,21.25,20.75,21,28.40K,1.20%
12-Jan-16,21.25,21.25,21,21,22.40K,0.00%
13-Jan-16,21,21,20.5,20.75,19.20K,-1.19%
14-Jan-16,20.5,21,20.25,20.75,40.70K,0.00%
15-Jan-16,20.75,21,20.75,20.75,21.20K,0.00%
18-Jan-16,21,21,20.75,20.75,13.90K,0.00%
19-Jan-16,21,21,20,20.5,40.10K,-1.20%
20-Jan-16,20.5,21,20,20.75,10.90K,1.22%
21-Jan-16,20.5,20.75,19.5,20,30.30K,-3.61%
