Date,Open,High,Low,Close,Vol.,Change %
15-Nov-13,46.5,46.5,46,46,3.19M,-1.08%
18-Nov-13,46.5,47,46,46.5,1.23M,1.09%
19-Nov-13,46.75,47.5,46.75,47,1.76M,1.08%
20-Nov-13,47.5,48.5,47.25,47.5,1.16M,1.06%
21-Nov-13,47.75,49.5,47.75,48.75,211.80K,2.63%
22-Nov-13,48.75,49.5,48.5,49,1.35M,0.51%
25-Nov-13,49,49.5,49,49,1.80M,0.00%
26-Nov-13,49,49.25,48.75,48.75,2.25M,-0.51%
27-Nov-13,48.75,49,48.5,48.75,2.99M,0.00%
28-Nov-13,48.75,48.75,48,48.5,682.40K,-0.51%
29-Nov-13,48.5,48.5,47,48,724.80K,-1.03%
02-Dec-13,47.5,47.5,46.75,46.75,1.12M,-2.60%
03-Dec-13,46.75,47,46,46.5,4.15M,-0.53%
04-Dec-13,46.5,46.5,45.75,46,6.84M,-1.08%
05-Dec-13,46,46,45,45.5,1.40M,-1.09%
06-Dec-13,45.5,45.5,44.75,45,973.20K,-1.10%
09-Dec-13,45,45.25,44.5,44.75,2.49M,-0.56%
10-Dec-13,45,45,44.5,44.5,6.19M,-0.56%
11-Dec-13,44.75,45,44.5,44.75,1.78M,0.56%
16-Dec-13,44.75,45.25,44.75,45,735.00K,0.56%
17-Dec-13,45,45,44.5,44.75,3.19M,-0.56%
18-Dec-13,44.5,44.75,44.25,44.5,1.32M,-0.56%
19-Dec-13,44.25,44.75,44.25,44.5,4.91M,0.00%
20-Dec-13,44.75,44.75,44.25,44.5,4.68M,0.00%
23-Dec-13,44.5,45,44.5,44.5,1.36M,0.00%
24-Dec-13,44.75,47,44.75,46.25,157.40K,3.93%
27-Dec-13,46.25,48,46.25,46.75,1.67M,1.08%
30-Dec-13,48,49,47.5,47.5,1.84M,1.60%
31-Dec-13,47.5,48.25,47,47.25,1.37M,-0.53%
02-Jan-14,48.25,48.25,47,47.75,1.90M,1.06%
03-Jan-14,47.75,48.25,47.75,48,2.23M,0.52%
06-Jan-14,48.25,49.25,48.25,48.5,976.50K,1.04%
07-Jan-14,48.5,49,48.5,48.5,667.50K,0.00%
08-Jan-14,48.25,49,48.25,48.25,233.60K,-0.52%
09-Jan-14,48.25,48.75,48,48.5,2.36M,0.52%
10-Jan-14,48,48.25,47,47.5,1.42M,-2.06%
13-Jan-14,48,48,46.5,46.75,374.50K,-1.58%
14-Jan-14,46.75,47.25,46.75,46.75,2.04M,0.00%
15-Jan-14,47,47,46,46,3.77M,-1.60%
16-Jan-14,46,46.25,45.75,45.75,1.00M,-0.54%
17-Jan-14,46,46,45.5,45.75,409.60K,0.00%
20-Jan-14,45.75,45.75,45,45.25,5.84M,-1.09%
21-Jan-14,45.5,46.25,45.25,45.5,2.56M,0.55%
22-Jan-14,45.5,45.75,45.25,45.5,2.56M,0.00%
23-Jan-14,45.5,46,45.25,45.5,4.06M,0.00%
24-Jan-14,45.5,46,45.5,45.75,641.10K,0.55%
27-Jan-14,45.75,46.5,45.75,46,6.09M,0.55%
28-Jan-14,46,46.5,46,46.25,712.10K,0.54%
29-Jan-14,46.25,46.25,45.25,45.5,3.79M,-1.62%
30-Jan-14,45.25,45.5,44.75,45.25,2.08M,-0.55%
31-Jan-14,45.25,45.5,42.5,43.25,3.18M,-4.42%
03-Feb-14,42.5,43.5,42.25,42.5,765.30K,-1.73%
04-Feb-14,45.5,45.5,43.5,44,3.72M,3.53%
05-Feb-14,45,45,44,44,1.42M,0.00%
06-Feb-14,44.5,44.5,43,43.75,2.61M,-0.57%
07-Feb-14,43.5,44,43.25,43.75,1.62M,0.00%
10-Feb-14,44,44,43.5,43.75,1.99M,0.00%
11-Feb-14,44,45,44,44.75,929.60K,2.29%
12-Feb-14,44.75,46,44.75,45,1.54M,0.56%
13-Feb-14,45.5,46.25,45.5,45.75,373.00K,1.67%
14-Feb-14,45.75,46,45.5,45.75,850.60K,0.00%
17-Feb-14,45.5,45.5,44.25,44.25,2.62M,-3.28%
18-Feb-14,45,45.5,44,44.25,193.50K,0.00%
19-Feb-14,44.25,44.5,44,44,1.69M,-0.56%
20-Feb-14,45.75,45.75,44,44.5,4.59M,1.14%
21-Feb-14,44.25,45,43.75,44,2.73M,-1.12%
24-Feb-14,44,44.5,44,44,965.40K,0.00%
25-Feb-14,44,44.25,43.5,43.75,2.19M,-0.57%
26-Feb-14,44.25,44.25,43.5,43.75,19.48M,0.00%
27-Feb-14,45,45,44.5,44.75,1.09M,2.29%
28-Feb-14,45,45,43.5,43.75,3.48M,-2.23%
03-Mar-14,44,44.75,43,44,1.28M,0.57%
04-Mar-14,43.75,44.25,43.75,44,879.40K,0.00%
05-Mar-14,43.75,44.5,43.75,44,4.81M,0.00%
06-Mar-14,44.5,45.5,44,44.75,2.96M,1.70%
07-Mar-14,45.25,45.5,45,45,2.28M,0.56%
10-Mar-14,45.25,45.75,45.25,45.25,310.60K,0.56%
11-Mar-14,45.25,46.25,45.25,45.75,2.42M,1.10%
12-Mar-14,46,46.5,46,46.25,1.29M,1.09%
13-Mar-14,46,46.5,46,46,2.89M,-0.54%
14-Mar-14,46,46.5,46,46,7.57M,0.00%
17-Mar-14,46.25,46.5,46,46,1.81M,0.00%
18-Mar-14,46.5,47,46.25,46.5,1.85M,1.09%
19-Mar-14,46.5,47,46.5,46.5,2.39M,0.00%
20-Mar-14,47,47.25,46.5,46.5,2.80M,0.00%
21-Mar-14,46.75,47,46.5,46.75,2.48M,0.54%
24-Mar-14,47,47,46.75,46.75,1.28M,0.00%
25-Mar-14,46.75,47,46.75,46.75,855.80K,0.00%
26-Mar-14,46.75,46.75,46,46.5,2.75M,-0.53%
27-Mar-14,46.25,46.25,45.25,46,1.96M,-1.08%
28-Mar-14,45.75,46.25,45.5,46,1.64M,0.00%
31-Mar-14,46,46.25,46,46,1.67M,0.00%
01-Apr-14,46,46.5,46,46,1.77M,0.00%
02-Apr-14,46.5,46.5,45.75,46,1.06M,0.00%
03-Apr-14,46,47,46,46.25,1.42M,0.54%
04-Apr-14,46.25,46.25,46,46,3.33M,-0.54%
07-Apr-14,46,46.25,46,46,1.31M,0.00%
08-Apr-14,46,46.25,46,46,1.15M,0.00%
09-Apr-14,46,46.75,46,46.25,2.07M,0.54%
10-Apr-14,46.25,46.75,46.25,46.25,191.50K,0.00%
11-Apr-14,46.25,47.75,46.25,47.25,3.35M,2.16%
14-Apr-14,47,48,47,47.5,442.00K,0.53%
15-Apr-14,47.75,47.75,46.75,47.25,2.68M,-0.53%
16-Apr-14,47,47.25,46.5,47,9.12M,-0.53%
17-Apr-14,47,47.75,46.5,47.25,448.80K,0.53%
22-Apr-14,47.25,48,47.25,47.75,1.58M,1.06%
23-Apr-14,47.75,49.75,47.75,48.5,2.44M,1.57%
24-Apr-14,49,49.75,48.75,49.25,1.39M,1.55%
25-Apr-14,49.25,50,49.25,49.75,3.60M,1.02%
28-Apr-14,49.25,49.75,49.25,49.25,418.90K,-1.01%
29-Apr-14,49.5,50.5,48.5,49.75,8.83M,1.02%
30-Apr-14,49,49.25,48.5,49,487.80K,-1.51%
02-May-14,49.25,51,49,50,5.93M,2.04%
05-May-14,49.5,50,49.5,49.75,1.71M,-0.50%
06-May-14,50,50,49.5,49.5,3.23M,-0.50%
07-May-14,49.75,50,49,49.5,2.82M,0.00%
08-May-14,49,49.5,48.5,48.75,6.38M,-1.52%
09-May-14,49,49,48.75,48.75,486.50K,0.00%
12-May-14,48.75,49.75,48.25,49,4.05M,0.51%
13-May-14,48,48,47,47,650.50K,-4.08%
14-May-14,47.25,47.5,47,47,1.02M,0.00%
15-May-14,47,47.5,47,47,986.50K,0.00%
16-May-14,47,47.5,46.5,46.75,179.70K,-0.53%
19-May-14,46.5,47,46.25,46.75,511.40K,0.00%
20-May-14,46.75,47,46.5,46.75,7.47M,0.00%
21-May-14,46.75,46.75,46,46.5,5.29M,-0.53%
22-May-14,46.25,47,46.25,46.5,2.43M,0.00%
23-May-14,46.75,47.25,46.75,46.75,1.78M,0.54%
26-May-14,47.25,47.5,47.25,47.5,225.60K,1.60%
27-May-14,47.5,48.5,47.5,47.75,715.10K,0.53%
28-May-14,48,49,48,48.5,318.10K,1.57%
29-May-14,49,50,49,49.75,28.81M,2.58%
30-May-14,49.25,49.5,47,49,1.96M,-1.51%
03-Jun-14,48,48.75,47.5,48,2.09M,-2.04%
04-Jun-14,48,49,48,48.75,1.63M,1.56%
05-Jun-14,48.75,49.25,48.5,48.75,2.11M,0.00%
06-Jun-14,48.75,49.75,48.75,49.25,3.29M,1.03%
09-Jun-14,48.75,50,48.75,49.5,3.30M,0.51%
