Date,Open,High,Low,Close,Vol.,Change %
09-May-12,15.4,15.4,15.3,15.35,896.70K,-0.32%
10-May-12,15.35,15.45,15.3,15.35,525.00K,0.00%
11-May-12,15.35,15.4,15.3,15.3,206.60K,-0.33%
14-May-12,15.3,15.4,15.3,15.3,48.10K,0.00%
15-May-12,15.3,15.35,15.15,15.25,191.20K,-0.33%
16-May-12,15.25,15.3,15.2,15.25,698.40K,0.00%
17-May-12,15.25,15.25,15,15,1.56M,-1.64%
18-May-12,15,15.25,14.15,15.1,750.60K,0.67%
21-May-12,15.1,15.25,14.9,15,698.80K,-0.66%
22-May-12,15,15,14.7,14.8,32.20K,-1.33%
23-May-12,14.8,14.9,14.5,14.8,218.60K,0.00%
24-May-12,14.8,14.9,14.75,14.8,2.64M,0.00%
25-May-12,14.8,15,14.85,14.95,760.90K,1.01%
28-May-12,14.95,15,14.8,14.9,597.60K,-0.33%
29-May-12,14.9,15,14.25,14.65,64.50K,-1.68%
30-May-12,14.65,14.7,14.45,14.55,754.60K,-0.68%
31-May-12,14.55,14.7,14.5,14.55,621.40K,0.00%
04-Jun-12,14.55,14.6,14,14.2,210.00K,-2.41%
05-Jun-12,14.2,14.5,14,14.05,280.00K,-1.06%
06-Jun-12,14.05,14.5,14,14,219.30K,-0.36%
07-Jun-12,14,14.5,14,14,1.24M,0.00%
08-Jun-12,14,14.5,14,14.2,184.30K,1.43%
11-Jun-12,14.2,14.55,14.15,14.45,191.30K,1.76%
12-Jun-12,14.45,14.5,14.2,14.4,837.00K,-0.35%
13-Jun-12,14.4,14.5,14.35,14.4,158.60K,0.00%
14-Jun-12,14.4,14.5,14.2,14.45,895.00K,0.35%
15-Jun-12,14.45,14.7,14.45,14.55,153.10K,0.69%
18-Jun-12,14.55,14.65,14.5,14.55,54.30K,0.00%
19-Jun-12,14.55,15,14.5,14.7,130.30K,1.03%
20-Jun-12,14.7,15,14.6,14.7,573.70K,0.00%
21-Jun-12,14.7,15,14.55,14.65,125.90K,-0.34%
22-Jun-12,14.65,14.75,14.5,14.6,506.10K,-0.34%
25-Jun-12,14.6,15,14.55,14.8,178.50K,1.37%
26-Jun-12,14.8,15,14.85,14.9,753.40K,0.68%
27-Jun-12,14.9,15.4,15,15.05,107.10K,1.01%
28-Jun-12,15.05,15.3,15,15.2,803.90K,1.00%
29-Jun-12,15.2,15.25,15,15.1,94.90K,-0.66%
02-Jul-12,15.1,15.1,15,15,1.16M,-0.66%
03-Jul-12,15,15.2,15,15.15,589.40K,1.00%
04-Jul-12,15.15,15.4,15,15.25,1.04M,0.66%
05-Jul-12,15.25,15.3,15.1,15.15,104.30K,-0.66%
06-Jul-12,15.15,15.3,15.1,15.17,181.20K,0.13%
09-Jul-12,15.15,15.35,15.2,15.3,579.50K,0.86%
10-Jul-12,15.3,15.3,15.15,15.15,322.80K,-0.98%
11-Jul-12,15.15,15.25,15.15,15.15,414.20K,0.00%
12-Jul-12,15.15,15.3,15.15,15.2,580.70K,0.33%
13-Jul-12,15.2,15.4,15.2,15.25,453.40K,0.33%
16-Jul-12,15.25,15.3,15.15,15.2,439.50K,-0.33%
17-Jul-12,15.2,15.4,15.15,15.15,104.60K,-0.33%
18-Jul-12,15.15,15.3,15.2,15.2,35.70K,0.33%
19-Jul-12,15.2,15.25,15.15,15.2,341.50K,0.00%
20-Jul-12,15.2,15.25,15.15,15.2,79.10K,0.00%
23-Jul-12,15.2,15.25,15.15,15.2,67.70K,0.00%
24-Jul-12,15.2,15.25,15.1,15.15,193.50K,-0.33%
25-Jul-12,15.15,15.3,15.15,15.15,260.10K,0.00%
26-Jul-12,15.15,15.25,15.2,15.2,825.40K,0.33%
27-Jul-12,15.2,15.35,15.15,15.2,445.80K,0.00%
30-Jul-12,15.2,15.35,15.25,15.3,238.70K,0.66%
31-Jul-12,15.3,15.5,15.3,15.35,217.80K,0.33%
01-Aug-12,15.35,15.5,15.35,15.35,185.40K,0.00%
02-Aug-12,15.35,15.6,15.4,15.5,203.20K,0.98%
03-Aug-12,15.5,15.6,15.5,15.55,61.50K,0.32%
06-Aug-12,15.55,15.5,15.4,15.45,159.00K,-0.64%
07-Aug-12,15.45,15.55,15.35,15.4,39.60K,-0.32%
08-Aug-12,15.4,15.8,15.3,15.4,399.10K,0.00%
09-Aug-12,15.4,15.75,15.35,15.45,38.60K,0.32%
10-Aug-12,15.45,15.8,15.45,15.55,859.10K,0.65%
13-Aug-12,15.55,15.8,15.5,15.5,284.80K,-0.32%
14-Aug-12,15.5,15.7,15.55,15.6,186.10K,0.65%
15-Aug-12,15.6,15.85,15.55,15.8,981.60K,1.28%
16-Aug-12,15.8,15.95,15.85,15.9,59.60K,0.63%
17-Aug-12,15.9,16,15.85,15.9,80.40K,0.00%
21-Aug-12,15.9,16.25,15.95,16,119.30K,0.63%
22-Aug-12,16,16.2,16,16.05,80.20K,0.31%
23-Aug-12,16.05,16.5,16,16.45,1.60M,2.49%
24-Aug-12,16.45,17,16.5,16.95,1.21M,3.04%
27-Aug-12,16.95,17.5,16.85,17.25,976.10K,1.77%
28-Aug-12,17.25,17.5,17.25,17.45,823.50K,1.16%
29-Aug-12,17.45,17.5,17,17.4,1.48M,-0.29%
30-Aug-12,17.4,17.55,16.5,17.45,1.24M,0.29%
31-Aug-12,17.45,17.7,16.5,17.4,31.50K,-0.29%
03-Sep-12,17.4,17,16.15,16.3,77.80K,-6.32%
04-Sep-12,16.3,16.95,16.3,16.5,141.10K,1.23%
05-Sep-12,16.5,16.9,16.45,16.6,69.80K,0.61%
06-Sep-12,16.6,16.7,16.5,16.6,43.60K,0.00%
07-Sep-12,16.6,17,16.6,16.6,491.70K,0.00%
10-Sep-12,16.6,17,16.5,16.55,41.20K,-0.30%
11-Sep-12,16.55,17,16.5,16.6,381.20K,0.30%
12-Sep-12,16.6,16.9,16.6,16.7,309.70K,0.60%
13-Sep-12,16.7,16.8,16.7,16.7,65.00K,0.00%
14-Sep-12,16.7,17,16.7,16.95,1.33M,1.50%
17-Sep-12,16.95,17.1,16.95,17,119.80K,0.29%
18-Sep-12,17,17.5,17,17.1,542.40K,0.59%
19-Sep-12,17.1,17.5,17.1,17.45,1.00M,2.05%
20-Sep-12,17.45,17.5,17.25,17.5,1.96M,0.29%
21-Sep-12,17.5,17.55,17.1,17.5,676.00K,0.00%
24-Sep-12,17.5,17.5,17.1,17.45,986.90K,-0.29%
25-Sep-12,17.45,17.6,17.25,17.45,420.90K,0.00%
26-Sep-12,17.45,17.6,17.5,17.5,440.30K,0.29%
27-Sep-12,17.5,17.55,17.15,17.5,1.44M,0.00%
28-Sep-12,17.5,17.6,17.5,17.55,665.60K,0.29%
01-Oct-12,17.55,17.6,17.55,17.55,277.50K,0.00%
02-Oct-12,17.55,17.6,17.5,17.5,1.18M,-0.28%
03-Oct-12,17.5,17.6,17.5,17.5,159.20K,0.00%
04-Oct-12,17.5,17.55,17.5,17.5,194.30K,0.00%
05-Oct-12,17.5,18,17.5,17.95,1.47M,2.57%
08-Oct-12,17.95,18,17.6,17.9,286.40K,-0.28%
09-Oct-12,17.9,18.2,17.9,17.95,207.80K,0.28%
10-Oct-12,17.95,18.2,17.95,18,153.40K,0.28%
11-Oct-12,18,18.1,18,18.05,246.00K,0.28%
12-Oct-12,18.05,18.5,18,18.2,388.80K,0.83%
15-Oct-12,18.2,18.5,18.25,18.25,142.30K,0.27%
16-Oct-12,18.25,18.4,18.25,18.3,441.60K,0.27%
17-Oct-12,18.3,18.55,18.25,18.5,2.78M,1.09%
18-Oct-12,18.5,18.75,18.5,18.5,207.40K,0.00%
19-Oct-12,18.5,18.7,18.5,18.55,130.00K,0.27%
22-Oct-12,18.55,18.7,18.55,18.6,642.40K,0.27%
23-Oct-12,18.6,19,18.55,18.95,1.50M,1.88%
24-Oct-12,18.95,19.3,18.6,18.7,41.40K,-1.32%
25-Oct-12,18.7,19,18.55,18.95,1.80M,1.34%
26-Oct-12,18.95,18.9,18.5,18.5,108.90K,-2.37%
29-Oct-12,18.5,18.75,18.35,18.5,1.20M,0.00%
30-Oct-12,18.5,18.6,17.6,18.55,2.37M,0.27%
31-Oct-12,18.55,18.6,17.6,18.5,3.65M,-0.27%
01-Nov-12,18.5,18.6,18,18.5,5.67M,0.00%
02-Nov-12,18.5,18.7,18.4,18.6,4.21M,0.54%
05-Nov-12,18.6,18.75,18.5,18.6,922.30K,0.00%
06-Nov-12,18.6,18.6,17.6,18.15,89.40K,-2.42%
07-Nov-12,18.15,18.4,17.85,18.25,470.00K,0.55%
08-Nov-12,18.15,18.4,18.25,18.35,1.08M,0.55%
09-Nov-12,18.35,18.35,18.1,18.3,127.00K,-0.27%
12-Nov-12,18.3,18.5,18.3,18.4,715.80K,0.55%
13-Nov-12,18.4,18.5,18.25,18.35,1.54M,-0.27%
14-Nov-12,18.35,18.3,18.1,18.25,327.00K,-0.54%
15-Nov-12,18.25,18.4,18,18.3,6.51M,0.27%
16-Nov-12,18.3,18.4,18.15,18.25,498.10K,-0.27%
19-Nov-12,18.25,18.4,18.05,18.25,1.70M,0.00%
20-Nov-12,18.25,18.2,17.5,18.25,2.02M,0.00%
21-Nov-12,18,18.1,17.2,17.45,1.50M,-4.38%
22-Nov-12,17.45,18,17.2,17.45,2.34M,0.00%
23-Nov-12,17.45,17.5,17.15,17.35,317.90K,-0.57%
26-Nov-12,17.35,17.35,17,17.05,150.40K,-1.73%
27-Nov-12,17.05,17.1,16.8,16.95,297.20K,-0.59%
28-Nov-12,16.95,16.95,16.5,16.7,25.20K,-1.47%
29-Nov-12,16.7,17,16.5,16.6,41.60K,-0.60%
30-Nov-12,16.6,16.9,16.1,16.5,219.40K,-0.60%
03-Dec-12,16.5,16.6,15.5,16.4,1.43M,-0.61%
04-Dec-12,16.4,16.4,16,16.2,319.20K,-1.22%
05-Dec-12,16.2,16.5,16.2,16.4,1.36M,1.23%
06-Dec-12,16.4,16.85,16.4,16.45,53.30K,0.30%
07-Dec-12,16.45,16.85,16.4,16.45,69.20K,0.00%
10-Dec-12,16.45,16.65,16.5,16.55,45.80K,0.61%
11-Dec-12,16.55,16.7,16.55,16.6,59.50K,0.30%
13-Dec-12,16.6,17,16.65,16.95,424.40K,2.11%
14-Dec-12,16.95,17.2,16.9,17.05,229.40K,0.59%
17-Dec-12,17.05,17.1,17,17.05,610.60K,0.00%
18-Dec-12,17,17.1,16.9,17.05,714.00K,0.00%
19-Dec-12,17.05,17.5,17.05,17.15,987.30K,0.59%
