Date,Open,High,Low,Close,Vol.,Change %
13-Jan-14,13.9,14,13.75,13.85,62.40K,-95.67%
14-Jan-14,13.75,13.8,13.5,13.65,124.30K,-1.44%
15-Jan-14,13.65,13.65,13.2,13.5,182.20K,-1.10%
16-Jan-14,13.5,13.6,13.05,13.4,109.60K,-0.74%
17-Jan-14,13.5,13.8,13.1,13.4,176.80K,0.00%
20-Jan-14,13.5,13.5,13.1,13.15,147.70K,-1.87%
21-Jan-14,13.15,13.2,13.15,13.15,135.10K,0.00%
22-Jan-14,13.2,13.25,13,13.15,44.90K,0.00%
23-Jan-14,13.25,13.25,13,13,132.00K,-1.14%
24-Jan-14,13.15,13.15,13,13,117.30K,0.00%
27-Jan-14,13.15,13.15,12.1,12.8,92.40K,-1.54%
28-Jan-14,12.7,13.15,12.6,12.95,155.10K,1.17%
29-Jan-14,12.9,13,12.75,12.8,103.70K,-1.16%
30-Jan-14,12.75,13,12.4,12.6,55.60K,-1.56%
31-Jan-14,12.6,12.6,11.35,11.95,207.80K,-5.16%
03-Feb-14,12,12.6,11.5,11.8,45.80K,-1.26%
04-Feb-14,11.9,12.1,11.9,11.95,78.80K,1.27%
05-Feb-14,11.95,12,11.9,11.95,33.90K,0.00%
06-Feb-14,11.95,12,11.9,11.95,38.40K,0.00%
07-Feb-14,12,12,11.7,11.85,109.40K,-0.84%
10-Feb-14,11.7,11.9,11.65,11.65,595.00K,-1.69%
11-Feb-14,11.85,11.85,11.5,11.55,235.10K,-0.86%
12-Feb-14,11.9,11.9,11.5,11.55,189.40K,0.00%
13-Feb-14,11.8,11.95,11.6,11.75,119.30K,1.73%
14-Feb-14,11.7,11.9,11.7,11.8,151.00K,0.43%
17-Feb-14,11.8,11.95,11.75,11.85,143.90K,0.42%
18-Feb-14,11.8,11.8,11.6,11.75,84.80K,-0.84%
19-Feb-14,11.8,11.9,11.7,11.75,161.70K,0.00%
20-Feb-14,11.75,11.95,11.6,11.75,83.90K,0.00%
21-Feb-14,11.9,11.9,11.5,11.75,98.20K,0.00%
24-Feb-14,11.55,11.9,11.55,11.8,50.10K,0.43%
25-Feb-14,11.8,11.95,11.75,11.85,237.50K,0.42%
26-Feb-14,11.85,12,11.85,11.95,364.00K,0.84%
27-Feb-14,12,12.6,12,12.05,13.40K,0.84%
28-Feb-14,12.05,12.5,12,12.1,353.50K,0.41%
03-Mar-14,12,12,11.7,11.85,150.60K,-2.07%
04-Mar-14,11.9,12.05,11.85,11.95,395.20K,0.84%
05-Mar-14,11.95,12,11.8,11.85,200.10K,-0.84%
06-Mar-14,11.9,12,11.7,11.75,209.10K,-0.84%
07-Mar-14,12,12,11.7,11.75,162.00K,0.00%
10-Mar-14,11.65,11.8,11.5,11.55,282.20K,-1.70%
11-Mar-14,11.75,11.75,11.45,11.5,366.70K,-0.43%
12-Mar-14,11.7,11.75,11,11.45,1.08M,-0.43%
13-Mar-14,11.8,12,11.55,11.85,579.40K,3.49%
14-Mar-14,11.95,12.5,11.9,11.95,223.50K,0.84%
17-Mar-14,12,12,11.8,11.95,121.80K,0.00%
18-Mar-14,11.95,12.5,11.85,12,447.50K,0.42%
19-Mar-14,12.05,12.9,12.05,12.25,125.60K,2.08%
20-Mar-14,12.5,12.85,12.25,12.6,337.70K,2.86%
21-Mar-14,12.8,13.5,12.75,13.1,374.60K,3.97%
24-Mar-14,13.5,13.5,13.2,13.25,284.50K,1.15%
25-Mar-14,13.2,13.25,12.85,13.1,363.30K,-1.13%
