Date,Open,High,Low,Close,Vol.,Change %
30-Oct-12,75,72,72,72,60.10K,-4.00%
31-Oct-12,72,72,72,72,0.60K,0.00%
05-Nov-12,72,73,72,72,59.50K,0.00%
06-Nov-12,72,71,71,71,68.90K,-1.39%
07-Nov-12,71,73,70,70,24.20K,-1.41%
08-Nov-12,71,70,70,70,6.60K,0.00%
12-Nov-12,70,71,71,71,8.00K,1.43%
13-Nov-12,71,71,70,71,72.20K,0.00%
14-Nov-12,71,71,71,71,1.00K,0.00%
15-Nov-12,71,71,71,71,59.00K,0.00%
16-Nov-12,71,71,70,70,212.10K,-1.41%
19-Nov-12,70,72,71,71.5,1.10K,2.14%
20-Nov-12,71.5,72,71,71,5.80K,-0.70%
21-Nov-12,71,71,70,70,15.70K,-1.41%
22-Nov-12,70,71,70,70,10.30K,0.00%
23-Nov-12,70,70,70,70,40.10K,0.00%
26-Nov-12,70,70,70,70,11.20K,0.00%
28-Nov-12,70,71,70,70,18.80K,0.00%
29-Nov-12,0,70,70,70,-,0.00%
30-Nov-12,70,68,68,68,2.00K,-2.86%
06-Dec-12,68,70,70,70,1.80K,2.94%
10-Dec-12,70,67.5,67.5,67.5,1.00K,-3.57%
13-Dec-12,67.5,68,67.5,67.5,13.20K,0.00%
14-Dec-12,67.5,70,69,69,130.00K,2.22%
18-Dec-12,70,70,69,69,488.60K,0.00%
24-Dec-12,69,69,69,69,20.30K,0.00%
31-Dec-12,72,72,72,72,1.00K,4.35%
02-Jan-13,67.5,67.5,67.5,67.5,0.30K,-6.25%
07-Jan-13,70,70,70,70,3.00K,3.70%
08-Jan-13,72,72,72,72,0.10K,2.86%
09-Jan-13,72,72,70,71.5,5.10K,-0.69%
11-Jan-13,72,72,72,72,9.60K,0.70%
16-Jan-13,72,72,70,70,91.00K,-2.78%
30-Jan-13,71,71,71,71,0.10K,1.43%
04-Feb-13,75,75,75,75,50.00K,5.63%
05-Feb-13,75,75,75,75,30.00K,0.00%
06-Feb-13,75,75,75,75,10.00K,0.00%
07-Feb-13,75,75,75,75,0.10K,0.00%
08-Feb-13,75,75,75,75,20.00K,0.00%
