Date,Open,High,Low,Close,Vol.,Change %
07-Feb-13,430,430,430,430,12.50K,0.00%
13-Mar-13,470,470,470,470,1.00K,9.30%
26-Mar-13,470,470,470,470,0.10K,0.00%
27-Mar-13,470,470,460,460,22.60K,-2.13%
12-Apr-13,470,470,470,470,0.10K,2.17%
29-May-13,450,450,450,450,1.00K,-4.26%
19-Jun-13,490,490,490,490,0.10K,8.89%
16-Jul-13,490,490,490,490,1.00K,0.00%
22-Aug-13,490,490,490,490,0.10K,0.00%
26-Sep-13,245,245,245,245,4.00K,-50.00%
04-Oct-13,230,230,230,230,11.20K,-6.12%
08-Oct-13,250,250,250,250,0.80K,8.70%
08-Nov-13,250,250,250,250,0.20K,0.00%
28-Nov-13,250,250,250,250,0.20K,0.00%
09-Jan-14,250,250,250,250,27.00K,0.00%
14-Jan-14,237.5,237.5,237.5,237.5,0.20K,-5.00%
16-Jan-14,260,260,260,260,0.40K,9.47%
23-Jan-14,285,285,285,285,0.20K,9.62%
28-Jan-14,312.5,312.5,312.5,312.5,1.00K,9.65%
30-Jan-14,310,310,310,310,0.40K,-0.80%
12-Feb-14,310,310,310,310,0.40K,0.00%
25-Apr-14,310,310,310,310,1.40K,0.00%
14-May-14,335,335,335,335,5.00K,8.06%
03-Sep-14,325,325,325,325,0.40K,-2.99%
09-Sep-14,357.5,357.5,357.5,357.5,0.20K,10.00%
11-Sep-14,375,375,375,375,0.20K,4.90%
22-Sep-14,400,400,400,400,4.00K,6.67%
26-Sep-14,440,440,440,440,0.20K,10.00%
01-Oct-14,440,440,440,440,2.80K,0.00%
03-Oct-14,482.5,482.5,482.5,482.5,0.60K,9.66%
06-Oct-14,450,450,450,450,0.20K,-6.74%
22-Oct-14,450,450,450,450,0.20K,0.00%
23-Oct-14,450,450,450,450,0.40K,0.00%
24-Oct-14,495,495,495,495,0.20K,10.00%
30-Oct-14,510,510,510,510,4.00K,3.03%
05-Nov-14,510,510,510,510,0.20K,0.00%
07-Nov-14,510,510,510,510,0.20K,0.00%
10-Nov-14,510,510,510,510,1.60K,0.00%
20-Nov-14,550,550,550,550,2.00K,7.84%
21-Nov-14,510,550,510,530,0.40K,-3.64%
25-Nov-14,542.5,542.5,542.5,542.5,0.40K,2.36%
28-Nov-14,592.5,592.5,592.5,592.5,0.20K,9.22%
01-Dec-14,550,550,550,550,0.20K,-7.17%
03-Dec-14,525,525,525,525,0.20K,-4.55%
04-Dec-14,475,525,475,523.5,7.20K,-0.29%
10-Dec-14,525.5,525.5,525,525,2.00K,0.29%
17-Dec-14,525,525,525,525,0.20K,0.00%
18-Dec-14,525,575.5,525,575,27.80K,9.52%
19-Dec-14,525,525,525,525,0.20K,-8.70%
23-Dec-14,472.5,472.5,472.5,472.5,1.00K,-10.00%
24-Dec-14,425.5,425.5,425.5,425.5,1.00K,-9.95%
29-Dec-14,385.5,385.5,385.5,385.5,7.00K,-9.40%
16-Jan-15,422.5,422.5,422.5,422.5,0.20K,9.60%
21-Jan-15,462.5,462.5,462.5,462.5,0.20K,9.47%
27-Jan-15,417.5,508.5,417.5,463,0.40K,0.11%
28-Jan-15,508.5,508.5,508.5,508.5,0.20K,9.83%
19-Feb-15,557,557,557,557,100.00K,9.54%
12-Mar-15,560,565,560,562,2.00K,0.90%
08-Apr-15,507.5,507.5,490,496.5,5.20K,-11.65%
09-Apr-15,475,475,475,475,0.60K,-4.33%
10-Apr-15,476,476,476,476,0.20K,0.21%
30-Apr-15,476,476,476,476,0.40K,0.00%
07-May-15,475,475,475,475,7.80K,-0.21%
04-Jun-15,475,475,475,475,0.20K,0.00%
17-Jun-15,500,522.5,500,516.5,0.80K,8.74%
19-Jun-15,567.5,567.5,567.5,567.5,0.20K,9.87%
23-Jun-15,624,624,624,624,0.80K,9.96%
26-Jun-15,600,600,600,600,0.20K,-3.85%
03-Jul-15,545,545,545,545,0.20K,-9.17%
30-Jul-15,"1,090.00","1,090.00","1,090.00","1,090.00",0.10K,100.00%
19-Aug-15,"1,085.00","1,085.00","1,085.00","1,085.00",0.10K,-0.46%
27-Jan-16,980,980,980,980,1.00K,-9.68%
29-Jan-16,885,885,882,883,0.20K,-9.90%
01-Feb-16,840,840,840,840,0.10K,-4.87%
02-Feb-16,800,800,800,800,0.10K,-4.76%
04-Feb-16,756,756,756,756,0.10K,-5.50%
05-Feb-16,756,756,681,744,0.70K,-1.59%
26-Feb-16,810,810,810,810,0.10K,8.87%
03-Mar-16,840,840,840,840,0.10K,3.70%
15-Mar-16,840,840,840,840,0.10K,0.00%
17-Mar-16,800,800,775,799,82.80K,-4.88%
14-Jul-16,800,800,800,800,0.20K,0.13%
20-Jul-16,800,800,800,800,0.20K,0.00%
24-Aug-16,790,790,790,790,0.10K,-1.25%
08-Sep-16,720,720,720,720,2.00K,-8.86%
22-Sep-16,650,650,650,650,0.10K,-9.72%
10-Oct-16,600,600,590,593,0.30K,-8.77%
12-Oct-16,540,540,540,540,0.20K,-8.94%
14-Oct-16,490,490,490,490,0.20K,-9.26%
17-Oct-16,490,490,490,490,0.10K,0.00%
25-Oct-16,490,490,490,490,0.10K,0.00%
09-Nov-16,530,530,530,530,0.10K,8.16%
03-Jan-17,530,530,530,530,0.10K,0.00%
26-Jan-17,530,530,530,530,0.20K,0.00%
01-Feb-17,530,530,530,530,0.10K,0.00%
09-Feb-17,530,530,530,530,1.90K,0.00%
10-Feb-17,530,530,530,530,0.50K,0.00%
14-Feb-17,530,530,530,530,1.50K,0.00%
15-Feb-17,530,530,500,501,6.00K,-5.47%
07-Mar-17,550,550,550,550,1.00K,9.78%
08-Mar-17,550,550,550,550,1.00K,0.00%
10-Mar-17,501,501,500,500,2.00K,-9.09%
24-Mar-17,500,500,500,500,0.20K,0.00%
28-Mar-17,550,550,550,550,0.20K,10.00%
07-Jun-17,560,560,560,560,0.20K,1.82%
08-Jun-17,600,600,600,600,0.10K,7.14%
16-Jun-17,600,600,600,600,0.20K,0.00%
27-Jun-17,600,600,600,600,0.10K,0.00%
10-Jul-17,598,600,598,599,0.70K,-0.17%
13-Jul-17,600,600,600,600,147.90K,0.17%
21-Jul-17,600,600,600,600,0.60K,0.00%
04-Aug-17,600,600,600,600,2.10K,0.00%
15-Aug-17,600,600,600,600,0.30K,0.00%
22-Aug-17,580,580,570,574,1.70K,-4.33%
24-Aug-17,540,540,540,540,1.00K,-5.92%
25-Aug-17,540,540,540,540,1.00K,0.00%
28-Sep-17,540,540,540,540,0.10K,0.00%
17-Nov-17,540,540,540,540,0.10K,0.00%
21-Nov-17,500,500,500,500,2.10K,-7.41%
01-Dec-17,500,500,500,500,0.30K,0.00%
07-Dec-17,500,500,500,500,1.70K,0.00%
11-Dec-17,500,500,500,500,0.40K,0.00%
03-Jan-18,500,500,500,500,0.10K,0.00%
26-Jan-18,500,500,500,500,2.40K,0.00%
02-Feb-18,500,500,500,500,0.80K,0.00%
16-Feb-18,500,500,500,500,0.10K,0.00%
21-Feb-18,500,500,500,500,0.60K,0.00%
22-Feb-18,500,500,500,500,1.10K,0.00%
07-Mar-18,500,500,500,500,0.10K,0.00%
08-Mar-18,500,500,500,500,0.10K,0.00%
20-Mar-18,510,510,510,510,0.20K,2.00%
22-Mar-18,500,500,500,500,0.70K,-1.96%
29-Mar-18,500,500,500,500,0.30K,0.00%
13-Apr-18,500,550,500,525,0.20K,5.00%
