Date,Open,High,Low,Close,Vol.,Change %
05-Nov-12,6.05,5.8,5.3,5.5,606.60K,-9.09%
06-Nov-12,5.5,5.75,5.55,5.65,408.50K,2.73%
07-Nov-12,5.65,5.8,5.6,5.7,810.80K,0.88%
08-Nov-12,5.65,5.9,5.75,5.8,560.40K,1.75%
09-Nov-12,5.8,5.9,5.8,5.85,1.72M,0.86%
12-Nov-12,5.85,5.9,5.55,5.75,267.70K,-1.71%
13-Nov-12,5.75,5.6,5.35,5.5,7.61M,-4.35%
14-Nov-12,5.5,5.65,5.5,5.55,734.80K,0.91%
15-Nov-12,5.55,5.6,5.5,5.5,897.60K,-0.90%
16-Nov-12,5.5,5.6,5.5,5.55,295.80K,0.91%
19-Nov-12,5.55,5.85,5.55,5.75,3.12M,3.60%
20-Nov-12,5.75,5.75,5.55,5.6,200.20K,-2.61%
21-Nov-12,5.6,5.8,5.55,5.75,2.47M,2.68%
22-Nov-12,5.75,5.75,5.6,5.65,68.00K,-1.74%
23-Nov-12,5.65,5.85,5.6,5.65,169.00K,0.00%
26-Nov-12,5.65,5.7,5.55,5.6,230.40K,-0.88%
27-Nov-12,5.6,5.7,5.5,5.5,613.20K,-1.79%
28-Nov-12,5.5,5.6,5.25,5.5,1.75M,0.00%
29-Nov-12,5.5,5.35,5.1,5.25,609.20K,-4.55%
30-Nov-12,5.25,5.25,4.85,5,243.60K,-4.76%
03-Dec-12,5,5,4.85,4.9,148.30K,-2.00%
04-Dec-12,4.9,5,4.8,4.85,495.50K,-1.02%
05-Dec-12,4.85,4.95,4.8,4.85,202.10K,0.00%
06-Dec-12,4.85,5,4.75,4.8,753.50K,-1.03%
07-Dec-12,4.8,5,4.8,4.9,318.40K,2.08%
10-Dec-12,4.9,4.95,4.85,4.85,103.00K,-1.02%
11-Dec-12,4.85,4.95,4.8,4.9,405.70K,1.03%
13-Dec-12,4.9,4.95,4.8,4.8,958.20K,-2.04%
14-Dec-12,4.8,4.95,4.75,4.8,520.80K,0.00%
17-Dec-12,4.8,4.95,4.8,4.9,1.62M,2.08%
18-Dec-12,4.95,5.25,4.95,5.1,1.45M,4.08%
19-Dec-12,5.1,5.2,5.1,5.15,1.10M,0.98%
20-Dec-12,5.2,5.2,4.95,5.1,394.90K,-0.97%
21-Dec-12,5.1,5.1,4.9,4.95,104.10K,-2.94%
24-Dec-12,5.15,5.15,4.85,4.9,194.30K,-1.01%
27-Dec-12,4.9,4.95,4.85,4.85,287.60K,-1.02%
28-Dec-12,4.85,4.9,4.85,4.85,616.60K,0.00%
31-Dec-12,4.85,4.9,4.85,4.85,480.70K,0.00%
02-Jan-13,4.9,4.95,4.85,4.9,112.00K,1.03%
03-Jan-13,4.9,5,4.9,4.95,483.50K,1.02%
04-Jan-13,4.95,5.1,4.95,5.05,1.23M,2.02%
07-Jan-13,5,5.05,5,5,335.20K,-0.99%
08-Jan-13,5,5.05,4.95,5,4.26M,0.00%
09-Jan-13,5,5,4.9,4.95,3.32M,-1.00%
10-Jan-13,5,5,4.95,4.95,2.83M,0.00%
11-Jan-13,5,5,4.9,4.95,723.20K,0.00%
14-Jan-13,5,5,4.9,4.9,1.98M,-1.01%
15-Jan-13,4.95,5.05,4.85,4.95,2.07M,1.02%
16-Jan-13,5.05,5.4,5,5.25,1.52M,6.06%
17-Jan-13,5.3,5.4,5.2,5.3,813.10K,0.95%
18-Jan-13,5.3,5.35,5.05,5.25,1.34M,-0.94%
21-Jan-13,5.3,5.3,5.1,5.15,146.80K,-1.90%
22-Jan-13,5.2,5.2,5.05,5.1,566.60K,-0.97%
23-Jan-13,5.1,5.15,5,5,486.00K,-1.96%
24-Jan-13,5,5.1,4.9,4.95,957.50K,-1.00%
25-Jan-13,5,5.1,4.95,5,2.58M,1.01%
28-Jan-13,5.05,5.15,5.05,5.05,574.70K,1.00%
29-Jan-13,5.05,5.15,5,5.05,108.50K,0.00%
30-Jan-13,5.05,5.15,5,5.05,2.60M,0.00%
31-Jan-13,5,5.1,4.95,5.05,4.27M,0.00%
01-Feb-13,5.05,5.05,5,5,383.50K,-0.99%
04-Feb-13,5.05,5.05,4.95,5,1.03M,0.00%
05-Feb-13,5,5.05,4.95,5,380.80K,0.00%
06-Feb-13,5,5,4.95,4.95,640.30K,-1.00%
07-Feb-13,5,5,4.95,5,818.70K,1.01%
08-Feb-13,5,5.05,5,5,610.80K,0.00%
11-Feb-13,5,5.05,4.95,4.95,1.16M,-1.00%
12-Feb-13,5,5,4.9,4.95,470.00K,0.00%
13-Feb-13,5,5,4.9,4.95,707.30K,0.00%
14-Feb-13,5,5,4.95,4.95,682.00K,0.00%
15-Feb-13,5,5,4.95,5,997.50K,1.01%
18-Feb-13,5,5,4.95,4.95,822.80K,-1.00%
19-Feb-13,5,5,4.95,4.95,984.20K,0.00%
20-Feb-13,4.95,5,4.6,4.8,733.40K,-3.03%
21-Feb-13,4.8,4.8,4.65,4.75,1.89M,-1.04%
22-Feb-13,4.75,4.75,4.65,4.65,714.90K,-2.11%
25-Feb-13,4.75,4.95,4.7,4.75,636.20K,2.15%
26-Feb-13,4.75,4.85,4.7,4.7,1.08M,-1.05%
27-Feb-13,4.8,4.95,4.75,4.85,652.10K,3.19%
28-Feb-13,4.75,4.75,4,4.2,2.53M,-13.40%
01-Mar-13,4.15,4.35,4.15,4.2,1.67M,0.00%
05-Mar-13,4.3,4.6,4.3,4.55,1.14M,8.33%
06-Mar-13,4.6,4.6,4.3,4.45,743.40K,-2.20%
07-Mar-13,4.5,4.85,4.45,4.5,2.10M,1.12%
08-Mar-13,4.5,4.9,4.5,4.8,3.51M,6.67%
11-Mar-13,4.8,4.9,4.65,4.8,1.61M,0.00%
12-Mar-13,4.8,4.85,4.7,4.75,6.45M,-1.04%
13-Mar-13,4.8,4.9,4.55,4.7,3.15M,-1.05%
14-Mar-13,4.75,4.8,4.55,4.6,631.60K,-2.13%
15-Mar-13,4.75,4.75,4.6,4.65,2.43M,1.09%
18-Mar-13,4.65,4.7,4.55,4.6,241.80K,-1.08%
19-Mar-13,4.8,4.8,4.55,4.6,454.30K,0.00%
20-Mar-13,4.65,4.7,4.55,4.6,617.80K,0.00%
21-Mar-13,4.6,4.65,4.55,4.55,708.80K,-1.09%
22-Mar-13,4.6,4.65,4.4,4.5,957.10K,-1.10%
25-Mar-13,4.45,4.6,4.35,4.5,2.67M,0.00%
26-Mar-13,4.55,4.6,4.55,4.55,1.09M,1.11%
27-Mar-13,4.55,4.65,4.45,4.5,1.50M,-1.10%
28-Mar-13,4.55,4.55,4.45,4.5,1.20M,0.00%
02-Apr-13,4.6,4.9,4.6,4.7,5.87M,4.44%
03-Apr-13,4.8,4.8,4.65,4.7,2.77M,0.00%
04-Apr-13,4.75,4.8,4.7,4.7,1.47M,0.00%
05-Apr-13,4.7,4.75,4.65,4.7,3.22M,0.00%
08-Apr-13,4.75,4.95,4.7,4.85,1.57M,3.19%
10-Apr-13,4.95,5.05,4.95,5,669.00K,3.09%
